#{"t_start": 1765358775.8131442, "env_id": "MyCustomEnv-v0"}
r,l,t
2.984717,4,0.997062
10.411199,13,4.627951
3.552388,5,6.687483
9.529919,11,9.639788
1.925975,3,10.340683
0.972808,2,10.785811
2.677476,4,11.704078
4.609618,6,13.077668
9.127859,12,16.006933
10.254641,13,20.193269
6.472068,9,22.910727
2.135797,3,23.589618
4.514795,6,25.029069
4.491533,6,26.384583
9.605679,12,29.206991
3.596254,5,30.413327
5.919754,8,32.666125
8.164519,10,36.237177
8.149757,11,38.878918
17.905371,20,43.526487
10.895552,12,46.881823
3.340253,5,48.957054
1.9696,3,50.131478
4.70834,6,51.542243
6.107268,8,53.311004
14.766003,18,57.538776
1.074832,2,58.004132
9.539026,12,61.256068
11.75241,15,65.840132
9.616399,12,68.661537
5.397979,7,70.317281
6.322625,8,72.184347
7.570272,9,74.233498
5.943526,8,77.460168
5.953387,8,79.767326
1.160348,2,80.215819
5.594182,7,81.854841
18.484877,20,86.837594
9.064739,11,90.33394
6.85419,9,93.348276
10.627772,13,97.067049
1.736309,3,97.793737
9.336966,11,100.362486
4.720835,7,102.025852
3.503591,5,103.60033
1.661231,3,104.757331
17.252707,20,110.404267
8.592403,11,112.900156
6.330056,8,114.667051
5.598656,7,116.266281
1.00041,2,116.721947
7.728885,9,120.525943
2.820441,4,121.599895
4.670237,6,122.958957
2.068206,3,123.649492
5.578937,7,125.22169
1.08905,2,125.688485
5.692414,8,127.482408
2.998536,4,128.424812
8.491724,10,130.748573
2.937581,4,132.119031
3.960007,5,134.042832
1.7805,3,135.233448
16.998653,20,139.904672
10.687907,13,142.863135
11.249324,14,146.742233
7.062881,9,150.07633
5.576286,7,151.707145
4.709147,6,153.161758
2.649434,4,154.061629
10.921325,14,157.220977
11.605837,15,161.696628
8.194041,11,165.116026
17.927904,20,169.697724
17.654251,20,174.863338
6.555134,8,178.048221
3.570952,5,179.188003
10.899716,14,182.376109
7.031438,9,184.374428
13.746915,17,188.610797
9.838707,12,192.78548
3.960901,5,193.903034
1.092748,2,194.352318
17.763387,20,199.106062
7.250184,9,201.19552
1.934547,3,201.902371
6.699013,8,204.966372
9.349082,11,208.151867
9.644833,12,210.846369
5.052613,7,212.430796
8.730918,11,214.872105
9.808316,12,218.695483
