#{"t_start": 1764453718.8758454, "env_id": "MyCustomEnv-v0"}
r,l,t
9.534674,11,2.493076
3.390138,5,3.620905
2.819456,4,4.492688
5.553925,7,6.080339
16.413809,20,12.704951
7.11242,9,14.677663
8.103099,10,16.940207
6.652989,9,19.018096
17.793124,20,25.761303
0.957892,2,26.19194
7.142511,9,28.184271
3.842521,5,29.304836
7.471702,10,31.543296
5.279688,7,33.088908
9.839723,12,37.177366
6.001664,7,40.771267
17.383697,19,47.35719
2.501392,4,48.351276
8.110116,10,50.842886
4.57213,6,53.061028
1.804719,3,54.264105
18.347792,20,59.368401
10.281924,13,62.251552
17.306683,20,67.704783
1.716628,3,68.903596
2.88622,4,70.156032
7.837858,9,72.208821
11.48626,15,75.647338
17.346517,20,80.966719
7.70451,10,84.516816
4.757855,6,85.902536
6.100763,8,87.720579
8.437519,11,90.307887
3.971768,5,91.452339
2.840696,4,92.32513
9.879066,13,96.547798
17.169656,20,101.783137
8.390702,11,104.353991
10.671051,12,107.374393
10.772446,13,112.118784
10.099988,12,114.895415
10.340765,13,117.956374
9.552373,12,120.665682
4.674245,6,122.121959
8.339883,11,126.307448
8.431962,11,128.913249
16.787103,20,133.433676
5.7426,8,135.248629
6.099025,8,137.85399
5.974412,8,140.727189
2.774343,4,141.682544
6.488559,8,143.49723
17.612793,20,148.02572
2.919687,4,148.919603
2.886049,4,149.869241
2.612202,4,151.202207
1.661753,3,152.424913
17.421966,20,157.954418
4.848821,6,159.31738
1.792229,3,159.999175
10.306623,13,163.021919
2.849907,4,163.964394
4.476645,6,166.153701
4.418666,6,168.490021
3.607448,5,169.579705
3.319616,5,170.758112
10.583885,13,173.799957
4.40471,6,175.209597
7.677206,10,177.633297
2.785874,4,178.67219
5.229327,7,181.571422
11.717159,13,185.052664
1.7291,3,185.756836
3.764924,5,186.922046
3.683324,5,188.038833
1.847932,3,188.766859
6.990623,9,190.825329
18.038184,20,197.211116
9.562626,12,199.941915
8.756815,11,202.621285
4.873202,7,204.269842
7.796127,10,206.547898
3.687787,5,208.378291
10.854946,14,212.573925
7.479181,9,214.716149
4.567772,6,216.124293
17.28939,20,221.057975
10.115921,13,225.662841
5.298696,7,227.266867
1.883599,3,227.995174
2.882364,4,228.890162
8.312058,11,231.36216
2.522857,4,232.326399
2.782229,4,233.206216
3.75239,5,234.423496
6.621149,8,237.462174
6.142335,8,239.972353
6.625544,9,241.995205
7.550195,9,244.040553
3.826789,5,245.204488
3.784757,5,246.322697
10.139537,12,248.945646
1.692532,3,250.108275
7.929413,10,253.582058
8.174314,10,255.835867
1.818053,3,256.487607
0.975144,2,256.943935
16.904196,20,261.51857
10.360452,12,265.280193
10.31424,13,269.028515
5.433664,7,270.56988
9.958426,12,273.227184
9.701637,11,275.739796
0.982785,2,276.18909
6.61626,8,279.014131
8.362789,11,282.423594
8.330784,10,284.614558
3.980345,5,285.709223
16.562799,20,291.020065
4.828845,6,293.407058
3.729689,5,295.308567
5.514021,7,296.915712
1.86791,3,297.615017
1.924202,3,298.319022
3.732086,5,299.475023
10.001011,12,302.282102
2.039619,3,302.95426
3.452247,5,304.133038
5.104649,7,306.076054
7.473749,9,309.543235
7.371163,9,311.559596
4.633972,6,312.843922
3.677937,5,313.898241
6.770725,9,315.896958
1.6377,3,316.549332
8.754013,11,319.041662
3.844191,5,320.851585
4.65302,6,323.243484
5.55229,7,324.906997
16.432128,20,329.432848
10.452812,13,332.372956
16.830253,20,338.89024
5.598648,7,340.53049
18.610459,20,345.317934
11.029511,14,349.449071
3.683664,5,351.417787
11.432366,15,355.139112
3.861475,5,356.297406
9.134337,11,358.899513
2.573659,4,359.804186
3.602318,5,360.975063
9.282065,11,364.995106
11.073856,14,368.557799
17.399455,20,373.217627
9.016008,12,376.200084
3.528893,5,378.354839
8.464742,11,381.792037
2.99537,4,382.788317
1.062159,2,383.231929
2.002582,3,383.89694
