#{"t_start": 1764739879.7093084, "env_id": "MyCustomEnv-v0"}
r,l,t
5.195691,7,9.837444
18.293882,20,14.266943
3.412489,5,15.803082
17.785898,20,21.863994
6.063638,8,23.643456
9.66101,13,26.499002
2.676745,4,27.536
7.02924,9,29.844605
9.481456,12,33.902256
3.773117,5,35.038882
10.725266,14,38.210995
5.633293,8,39.921825
6.899612,9,41.872994
9.958517,12,45.432772
8.536755,11,48.715095
6.141632,8,50.457051
6.118487,8,52.176328
10.362817,13,54.985501
6.831379,9,57.039725
5.062746,7,59.562001
1.887601,3,60.681969
2.772359,4,61.840773
2.813097,4,62.746358
8.451545,11,65.217602
1.038444,2,65.641705
5.238739,7,67.714202
6.04239,7,69.454269
5.313253,7,70.981752
4.054561,6,73.027709
1.685047,3,74.096113
3.564971,5,75.753599
1.908257,3,76.432883
2.816444,4,77.350441
7.659993,9,79.342172
5.914267,7,80.879655
1.12731,2,81.319424
10.952473,13,84.142334
3.660727,5,85.235776
6.353991,8,88.214636
6.762506,8,90.541951
4.397414,6,91.845396
1.901551,3,92.544008
6.852279,9,94.484682
17.434075,20,98.935968
5.066988,7,101.166756
10.589405,14,105.251783
4.883102,6,106.555996
9.38828,11,108.950014
4.81621,6,110.248749
2.436102,4,111.123354
8.407045,11,113.436637
17.484656,20,119.442946
8.017612,10,121.627142
16.68443,20,126.071196
3.496016,5,127.17645
8.499664,11,130.840909
2.905309,4,132.078907
5.377498,7,133.619612
3.647507,5,134.669095
1.733508,3,135.336027
5.797062,7,136.862036
1.860203,3,137.542256
8.834795,11,140.085077
9.458586,12,143.459579
5.483567,7,145.858405
4.613718,6,147.170937
9.547196,12,149.783813
6.707478,8,151.601765
5.961749,8,153.313939
5.365466,7,154.856622
6.513745,8,157.591104
5.946309,8,160.085279
9.152322,12,162.772477
1.647632,3,163.420935
3.565532,5,164.553937
8.998863,11,166.94736
2.214387,3,167.595602
2.65038,4,168.499499
3.670463,5,169.753695
4.97442,6,172.176292
7.994918,10,174.926656
4.753946,6,176.148273
7.882556,10,178.300723
6.377394,8,180.011053
10.714643,14,183.29199
9.680803,12,187.655586
11.060951,14,190.71527
9.659082,12,193.447241
8.568247,11,195.760687
10.759022,14,199.83132
1.016063,2,200.541594
11.56495,15,204.530328
0.997781,2,204.972431
17.385764,20,209.400044
2.952789,4,210.276856
8.254837,11,213.515307
3.330988,5,215.457079
9.732657,12,218.317887
10.881088,14,221.388323
11.298202,14,224.521521
7.019734,9,226.892478
10.957293,14,231.33079
1.835894,3,231.956732
