#{"t_start": 1764660487.4158845, "env_id": "MyCustomEnv-v0"}
r,l,t
2.715703,4,1.560387
10.804816,14,4.916985
1.173794,2,5.367895
10.408787,13,9.952116
6.754003,8,11.715608
4.777256,6,13.529403
2.756525,4,15.066172
2.480617,4,16.563383
2.842481,4,17.460041
18.46078,20,21.976496
5.934672,8,23.72452
1.735405,3,24.396424
9.946181,13,27.833056
16.983469,20,33.590024
2.521815,4,34.484177
3.852273,5,35.594618
8.59121,10,37.769848
1.971609,3,38.474506
6.633219,9,40.453166
2.828952,4,41.674222
1.088338,2,42.43046
17.378007,20,47.990438
6.272034,8,49.776325
5.447689,7,51.286224
9.772999,12,53.8912
2.664502,4,54.767563
2.608352,4,56.079231
4.223648,6,58.316431
2.803143,4,59.632679
3.754356,5,60.7258
2.062756,3,61.424145
1.699336,3,62.067309
16.32219,20,66.498225
10.099268,13,69.395688
13.547414,16,74.670719
2.412463,4,75.526436
3.042235,4,76.413328
6.264168,8,78.208895
6.476892,8,79.978826
12.270945,15,83.364261
0.994302,2,84.021045
4.058312,5,85.899144
1.682761,3,87.062407
3.586987,5,88.466156
12.213437,16,92.012299
9.235675,11,94.427227
4.498,6,95.702613
2.651767,4,96.618495
2.839512,4,97.538487
9.227389,12,101.95498
1.985165,3,102.653443
12.063012,16,106.182144
11.380463,15,109.566904
9.862601,13,112.860516
3.711797,5,114.778202
4.79764,6,116.743906
11.437275,13,119.617832
4.89356,7,121.197358
5.536281,7,122.756627
4.432739,6,124.105667
5.258792,7,125.639179
1.863157,3,126.300356
5.21259,7,128.953123
18.361431,20,134.190852
7.262478,9,136.159182
6.581689,9,138.08456
2.771336,4,138.97103
8.983148,12,142.463365
5.115413,7,144.939702
9.922084,13,147.858515
4.61812,6,149.162649
7.023951,9,151.132679
7.837317,10,153.35633
11.800287,15,158.119651
5.468471,7,160.055013
4.945614,6,161.389186
17.243171,20,165.901317
10.468306,13,168.730698
8.232528,11,172.673721
9.100671,11,175.355911
9.613393,12,177.983047
7.744852,10,180.190024
6.817728,9,182.193707
4.513119,6,183.746311
2.946906,4,185.298926
1.65906,3,186.360472
7.753433,10,188.988137
7.315403,9,190.914994
17.332527,20,195.355984
11.584585,15,199.571029
6.242671,8,202.166612
2.106442,3,202.872025
6.806084,8,204.617592
11.338619,15,207.94471
5.37016,7,209.447412
5.4284,7,210.987879
7.59737,9,213.98225
6.548076,8,216.544515
4.438609,6,217.83128
5.51407,7,219.370354
7.754036,10,221.622236
1.636942,3,222.294914
3.079377,4,223.205837
18.007772,20,228.984967
4.286283,6,230.734818
1.038888,2,231.200201
10.343815,13,234.097781
10.810266,14,237.220861
8.383661,11,239.642845
5.852434,8,242.388673
9.718046,12,245.846151
5.501105,7,247.384276
2.730567,4,248.248159
2.621062,4,249.129858
4.83013,6,250.428405
10.66559,13,253.290391
3.640059,5,254.492423
6.581684,8,257.482586
5.773214,7,259.485507
11.406915,14,262.671685
10.840533,13,265.583215
5.110923,6,266.938592
9.616791,12,270.166612
9.659759,12,273.975795
2.882865,4,274.844082
13.608603,17,278.582203
5.463169,7,280.102515
5.053355,7,281.648707
9.251048,11,284.96068
4.5239,6,287.177292
12.714358,15,290.452065
5.729376,8,292.329867
11.752248,13,295.202541
2.04097,3,295.867162
1.701262,3,296.546077
2.703529,4,297.648802
6.548228,9,301.11426
5.597792,7,302.772471
12.024117,16,306.293578
1.945156,3,306.95129
2.718644,4,307.844409
0.933163,2,308.3037
8.807619,10,310.584787
10.093195,13,314.900309
5.420039,7,316.729025
3.776612,5,317.79062
2.540283,4,318.649498
2.910122,4,319.532443
12.391667,14,322.58829
9.813519,13,325.379908
8.507071,10,329.159698
2.833158,4,330.330286
1.91631,3,330.994207
4.019019,5,332.135272
10.130621,13,335.020519
2.635928,4,335.887333
12.313584,14,338.991456
5.937867,8,341.33996
3.683476,5,343.211107
7.764614,10,345.774615
12.105374,15,349.120382
16.933735,20,353.601362
10.39734,13,358.164226
9.214392,11,360.750055
4.440858,6,362.100216
7.126251,9,364.506451
16.60691,20,369.576137
9.561686,12,373.435362
6.127367,7,374.966491
4.342196,6,376.25443
4.73248,6,377.559956
9.857431,13,380.453637
1.864375,3,381.148048
16.933156,20,387.366983
17.787276,20,391.731592
5.838501,7,393.315291
16.308754,20,400.762828
9.275873,12,404.061834
4.707178,6,405.405649
