#{"t_start": 1764656208.968506, "env_id": "MyCustomEnv-v0"}
r,l,t
9.273629,12,2.70448
10.639573,13,6.597777
18.093335,20,11.878618
18.404048,20,16.282538
9.939737,12,19.244711
9.730875,11,23.106962
7.150867,10,25.299629
6.549912,8,27.102776
5.730484,7,28.647386
5.551579,7,30.175625
2.538481,4,31.080009
5.781925,7,32.557118
2.750119,4,33.977033
3.685343,5,35.821648
2.907856,4,37.148287
3.439413,5,38.279922
5.644294,7,39.856652
2.739111,4,40.71983
5.570827,7,42.27895
5.166186,7,43.796668
5.504522,7,45.337193
7.106273,9,47.597753
3.221041,5,49.429218
5.306299,7,51.605437
9.920084,12,54.296226
2.951584,4,55.18759
9.237058,12,57.841014
4.225688,6,59.172428
1.976347,3,59.840889
8.723057,10,62.770478
2.020888,3,63.832524
9.36402,12,66.999618
1.795441,3,67.63889
10.811965,14,70.761242
1.911035,3,71.406494
2.661007,4,72.275876
11.194049,14,75.392648
17.558572,20,81.499253
8.545714,11,83.824589
5.731969,7,85.368811
5.090667,6,86.739887
3.9411,5,87.837346
11.238798,14,92.04585
5.72187,8,94.452756
7.272183,9,96.40521
8.704753,11,98.822219
7.346722,10,101.032406
11.472578,15,104.980268
11.528249,15,109.448229
9.262487,12,112.727112
2.588459,4,114.223017
10.766207,14,117.845486
7.948419,10,121.587563
9.72526,12,124.405624
9.555521,12,127.140741
8.400786,11,129.677805
5.710913,7,131.273127
6.300238,8,133.884887
2.875816,4,135.382863
17.988393,20,140.139581
3.410989,5,141.227513
1.841147,3,141.881428
9.453894,12,144.462266
7.152021,9,146.713134
3.90358,5,148.571126
3.242935,4,150.014548
11.805052,13,153.079533
5.388619,7,154.557634
8.297669,10,156.727648
3.732513,5,157.801214
1.084905,2,158.200726
3.832645,5,159.298867
7.223236,10,162.455378
7.36486,9,165.327105
2.73894,4,166.255184
5.596798,7,167.77552
10.510885,13,170.600707
1.848934,3,171.274212
8.784663,11,173.724178
7.306498,9,176.499942
5.152198,7,178.959554
2.575681,4,179.82038
6.619814,8,181.542732
9.831486,13,184.352621
5.158352,7,185.908473
5.783956,7,187.432706
2.567761,4,188.299322
6.642642,8,191.027511
16.567665,20,196.19492
2.735246,4,197.071874
2.732377,4,197.968431
10.400154,13,200.843393
9.303031,12,203.842494
1.897496,3,205.048196
7.504684,9,207.917091
8.513353,10,210.120425
10.163774,13,212.940037
10.30909,13,215.800546
1.697005,3,216.459199
16.994698,20,222.634643
8.618351,11,225.054683
1.947105,3,225.675331
8.956876,10,227.848838
3.769951,5,228.993623
12.073065,16,233.245192
6.846313,9,236.209282
11.025817,14,239.321783
10.297585,12,241.997729
9.613019,11,244.402137
2.674905,4,245.27932
3.268449,5,246.830692
12.683034,15,251.33821
8.305566,10,253.67802
1.986523,3,254.332436
8.565028,11,256.77474
5.953333,8,258.493736
1.05261,2,258.948555
3.664454,5,260.243052
6.687591,8,263.187862
5.974368,8,265.267373
2.717471,4,266.16661
9.765935,13,269.034278
4.997079,7,270.5851
17.759402,20,275.872806
2.666029,4,277.373408
11.618326,14,280.762287
2.672349,4,281.630037
7.218359,9,283.60426
9.280368,11,286.025317
13.399587,16,290.443607
7.826262,10,293.40786
7.572484,10,295.55304
7.526661,10,297.760089
2.13396,3,298.370376
17.443759,20,303.040613
3.931124,5,304.952229
1.807332,3,306.082161
3.952273,5,307.380345
3.951201,5,308.45649
9.617831,12,311.109032
16.660794,20,315.52363
7.620959,10,318.552499
1.671609,3,319.640966
8.897773,11,322.501405
5.769659,7,324.041044
3.751405,5,325.150937
17.696109,20,329.503457
17.119925,20,335.670114
5.965203,8,337.485252
1.683508,3,338.145961
5.507315,7,339.712509
5.274772,7,341.31439
1.954092,3,341.95076
7.19283,9,343.958404
10.175754,13,348.182634
6.29488,8,350.294649
3.632346,5,351.36674
3.629789,5,352.465847
1.994824,3,353.143573
4.889265,6,354.426655
11.391613,14,357.517537
6.197456,8,359.388265
4.864438,6,361.581
4.895065,7,363.78399
3.060922,4,364.665806
3.645753,5,365.765907
17.401428,20,370.303255
4.16314,6,371.585123
10.175507,12,374.985623
5.864575,7,377.542787
5.700191,7,379.097454
4.638055,6,380.442212
3.681044,5,381.506325
7.670921,9,383.471551
1.981524,3,384.10098
2.971912,4,384.984124
18.006283,20,390.810122
4.425578,6,392.451523
2.808211,4,393.341284
4.525336,6,394.630982
5.766392,7,396.187291
3.860921,5,397.264646
9.032366,11,399.75663
3.542535,5,400.837785
9.771228,12,404.94817
6.769022,8,407.087038
3.783779,5,408.169855
16.709604,20,412.66751
5.525156,7,414.238559
17.474518,20,420.372325
9.416736,11,422.809529
10.474225,13,425.598618
10.104608,13,428.43708
2.829525,4,429.318925
10.421973,13,433.754036
5.414755,7,435.527042
4.388485,6,436.842903
1.952384,3,437.484475
1.172725,2,437.922233
18.472501,20,442.45787
1.882245,3,443.075621
9.962918,13,446.970338
1.77977,3,448.153344
6.025981,8,450.03535
10.080962,12,452.65416
4.774134,6,453.963223
0.984358,2,454.383309
2.949416,4,455.27258
10.165927,13,458.235534
1.973137,3,459.212781
1.018184,2,459.910792
6.505039,8,462.857942
6.528141,8,464.65233
1.099396,2,465.088761
4.363179,6,466.428927
6.447712,8,468.17512
10.317851,13,471.076663
11.017513,12,474.566103
5.797424,8,477.27884
4.680129,6,478.601006
8.23934,11,481.661687
2.173123,3,482.832278
2.194824,3,483.950056
2.959205,4,485.04247
1.938247,3,485.715732
2.049961,3,486.349905
9.977443,12,490.471061
9.720676,12,493.423268
5.689266,7,494.935834
7.332163,9,496.926574
10.559855,12,499.505051
8.529006,11,502.446249
5.308017,7,505.029345
2.771191,4,506.036504
10.612366,13,508.910238
3.380647,5,509.996601
6.469973,8,511.766576
18.2521,20,516.769221
3.656685,5,518.661304
8.996183,11,528.170904
5.664578,7,529.910197
4.206561,6,532.186676
18.043312,20,537.16895
1.783207,3,537.819175
2.66867,4,538.696359
