#{"t_start": 1764698235.520339, "env_id": "MyCustomEnv-v0"}
r,l,t
8.998264,12,12.200944
2.85296,4,13.127445
1.794231,3,13.840577
7.563446,10,16.0179
2.732769,4,16.957551
2.703778,4,17.910713
10.161068,12,21.249987
10.13245,13,25.635045
2.684183,4,26.512436
1.817744,3,27.177069
4.720839,6,28.553124
18.327673,20,33.138186
3.698512,5,34.467645
1.882244,3,35.83989
3.601594,5,38.138365
8.882486,10,40.466079
5.491943,7,41.989022
2.832622,4,42.884466
17.850864,20,47.489242
3.838334,5,49.067306
10.332584,13,53.606068
11.707645,15,57.248594
11.53034,15,60.765542
14.010614,16,66.390413
1.928235,3,67.51798
5.376883,7,69.170976
6.671359,9,71.238273
4.602996,6,72.719844
2.952319,4,74.132451
11.967044,15,80.044768
13.14239,16,84.332088
8.482282,11,86.845463
2.906048,4,87.735936
2.008165,3,88.466871
17.972962,20,94.797099
10.523203,14,97.917504
5.417459,7,99.564635
16.324256,20,103.912579
4.601251,6,106.090909
3.624188,5,108.039699
17.140651,20,112.830827
6.089044,7,114.496171
11.856782,14,117.84897
6.480675,9,121.042986
9.66612,12,124.336948
2.921007,4,125.272105
7.757279,9,127.327203
2.674912,4,128.187342
5.063653,7,129.720787
10.035597,13,132.980692
4.901362,7,135.652728
5.601929,7,137.639866
11.157111,14,140.924173
8.153715,10,143.158581
7.640194,10,145.429812
13.405346,17,151.076432
4.030838,5,152.312454
2.87009,4,153.206379
4.943534,6,154.538696
8.354389,10,156.93658
2.045742,3,157.55777
9.704398,12,160.255314
9.085558,11,164.486425
7.203322,9,166.576936
0.994749,2,167.045084
3.870914,5,168.152618
7.860529,10,170.397331
4.573222,6,171.722712
5.062701,7,173.26146
5.021382,6,174.766005
11.955623,15,179.804447
11.666944,15,183.397603
10.902654,13,186.366314
3.57807,5,187.464222
5.815649,7,189.560301
4.924561,7,192.403423
3.857974,5,193.551826
5.364501,7,195.13643
2.065203,3,195.794746
11.729385,14,199.214338
7.149406,9,201.199882
18.216906,20,207.526246
0.950724,2,207.974465
7.000129,9,210.242987
9.457191,11,212.747801
5.377843,7,214.322537
4.536762,6,215.652736
9.467375,12,220.202391
8.612597,11,222.875731
5.173126,6,224.281943
3.66844,5,225.431421
7.418298,9,227.493996
1.15,2,227.991915
6.615709,9,230.118855
0.976182,2,230.636374
1.084905,2,231.505518
7.415143,9,235.041071
5.713708,8,236.974104
11.079419,14,240.220595
1.962198,3,240.887871
3.816823,5,242.071298
5.108193,7,243.587373
17.089719,20,250.220571
2.822872,4,251.198037
4.537148,6,252.699002
5.455355,7,254.404572
11.54083,14,258.178664
13.913344,17,263.930794
2.37302,4,264.805547
6.521377,8,266.585764
5.416988,7,268.206328
3.797172,5,269.360805
10.858862,14,272.576788
1.899747,3,273.669981
19.584365,20,280.053959
16.813795,20,285.07681
2.815991,4,286.039392
8.83849,11,290.286115
8.926642,12,293.440208
4.213855,6,294.874979
8.951658,11,297.499987
1.092861,2,297.963398
8.041851,10,300.328304
7.755757,10,304.393734
4.81819,6,306.0852
6.528627,8,307.97957
1.73661,3,308.766997
5.837949,7,310.45343
1.854463,3,311.196528
3.777583,5,312.378915
8.204699,11,314.906726
16.372237,20,321.560232
1.732944,3,322.247842
3.670051,5,323.480829
10.279909,13,326.597121
7.102391,9,328.738684
10.388985,13,333.749019
1.734052,3,334.435138
1.791382,3,335.120673
8.462983,11,338.045439
9.27014,11,340.660836
10.070472,13,344.110023
6.285165,8,347.462188
5.797778,8,349.350786
4.454247,6,350.696138
5.747762,7,352.252152
8.789731,11,354.85999
5.507407,7,356.552812
10.300304,13,361.713823
3.659679,5,362.888716
10.332782,13,365.904669
8.678394,10,368.238932
17.329327,20,374.175715
17.615195,20,379.287851
17.544794,20,383.760264
1.702411,3,384.480769
4.652612,6,386.286097
16.18702,20,392.192894
5.640995,8,394.020329
7.620716,10,396.271257
11.143527,14,399.631779
5.757757,7,402.339458
3.560729,5,404.036408
10.129288,12,406.768017
3.487172,5,408.002239
1.082534,2,408.456707
7.155633,9,410.498134
18.605638,20,416.413665
7.372855,9,419.011349
2.631941,4,419.943422
2.750069,4,420.875041
11.28011,14,424.167755
11.197261,15,427.660669
7.547532,9,431.349312
4.731836,6,432.896356
16.608033,20,437.473601
2.041988,3,438.186974
10.544526,13,441.077232
5.001266,7,443.429818
11.068428,13,447.472152
11.1666,14,450.844893
4.129118,6,452.313949
1.669538,3,453.025747
8.973126,10,455.36539
1.973129,3,456.330701
3.796113,5,458.468461
1.905465,3,459.640743
3.97543,5,460.773317
17.684399,20,465.271476
9.326971,11,467.872848
1.71519,3,468.577826
1.124684,2,469.06367
3.789145,5,470.702206
