#{"t_start": 1764598398.1859677, "env_id": "MyCustomEnv-v0"}
r,l,t
4.510328,6,2.271156
7.821632,10,5.268136
11.356097,15,8.948032
11.629998,15,12.59229
11.596753,14,17.392821
1.038949,2,17.994637
2.783265,4,18.993392
3.421703,5,20.153762
6.166994,8,22.047627
11.118656,13,25.088746
17.047145,20,31.204476
10.743103,13,34.535583
7.46636,10,36.843965
3.438826,5,38.059795
9.681594,12,40.896356
4.420299,6,43.014031
12.164362,15,49.388115
10.204646,12,52.229565
4.5022,6,53.645552
18.38443,20,59.953688
4.82236,6,61.654819
5.487545,7,63.287565
12.524901,16,67.214498
10.925083,14,70.685518
1.018575,2,71.493405
4.952557,6,73.787816
1.059765,2,74.554543
6.536318,8,76.511685
2.731123,4,77.454731
12.484075,16,81.411972
3.732438,5,82.669562
9.220158,12,86.219099
5.594821,7,88.810458
3.473847,5,90.071518
8.52056,10,92.446351
5.212797,7,94.146977
1.785688,3,94.888484
17.214062,20,100.853604
8.407404,10,103.880412
7.280868,9,105.977615
6.288204,8,107.853144
3.799199,5,109.042279
2.039032,3,109.788819
3.13,4,110.839549
4.675685,6,112.254203
7.236484,9,115.792343
7.82642,10,118.301763
17.028363,20,123.201554
10.989772,14,127.093581
17.523849,20,133.292361
7.553608,9,135.450909
9.242263,11,138.06341
1.79108,3,138.77264
1.843955,3,139.478759
7.641829,10,143.17115
17.032197,20,148.34441
4.40155,6,149.815768
5.75589,7,151.566435
2.028074,3,152.275515
4.879653,7,153.944451
7.847515,10,158.085135
5.338961,7,159.777673
2.680158,4,160.81524
8.547047,10,163.234331
12.641756,15,166.868447
2.845261,4,167.844111
7.581617,9,171.422081
8.528743,10,174.0607
7.851598,9,176.214815
5.845403,7,177.818938
2.881861,4,178.763964
7.196823,9,180.997701
10.138739,13,185.550356
2.699285,4,186.630223
6.842259,9,188.844986
18.251688,20,193.690257
4.535932,6,195.097499
7.341197,9,198.127358
8.326551,10,201.205682
8.953362,11,203.921548
11.937775,15,207.401006
3.751664,5,208.577258
7.808613,10,211.859541
10.515664,14,215.980004
5.663651,7,217.614563
4.562013,6,219.101725
8.367265,10,221.53405
8.209802,10,224.114549
2.656317,4,225.795696
5.925021,8,228.446964
2.109648,3,229.193066
9.058753,12,232.068867
11.000478,14,235.400694
2.994366,4,236.334014
3.640712,5,237.551089
1.975011,3,238.687552
6.120606,8,241.697531
17.939715,20,246.603937
4.285055,6,248.017343
8.183989,10,250.438475
11.212446,14,255.376669
8.508812,10,257.780075
9.517815,12,260.620693
3.731846,5,261.839982
11.666679,14,265.333174
7.784777,10,269.255892
2.027017,3,270.002828
6.269407,8,271.986343
9.271038,12,274.93288
12.994158,15,278.605417
8.546075,11,282.602823
10.314792,13,286.100681
5.554487,7,287.783877
0.983094,2,288.270423
3.019207,4,289.270456
6.376138,8,291.273864
1.803867,3,291.986892
3.800051,5,293.23268
17.585923,20,299.655628
0.996536,2,300.136159
2.910628,4,301.04703
3.882717,5,302.250281
2.821915,4,303.214716
13.40713,16,307.036293
7.442465,9,310.755446
0.957289,2,311.382172
11.407208,14,314.740015
7.963489,11,317.380092
2.657397,4,318.287495
10.616431,13,321.691419
4.243432,6,324.204838
3.658624,5,325.770067
11.198015,14,329.235157
1.960134,3,329.979215
10.105756,12,332.770164
4.832073,6,334.248329
1.973407,3,334.976315
10.528098,14,339.961385
9.662741,12,342.805197
3.932864,5,344.089339
5.005488,7,345.955231
11.831114,15,350.264367
4.468375,6,352.66182
2.640402,4,353.608696
7.260722,9,355.906226
10.008441,13,359.20877
8.376236,10,361.777624
6.740943,9,365.436464
11.386528,15,369.432341
9.174965,11,372.090713
11.432673,15,375.845495
1.178821,2,376.355499
10.170664,13,381.100676
17.304118,20,386.347322
5.242411,7,388.052627
3.615303,5,389.288818
6.379429,8,392.221319
8.698203,10,395.606057
15.182255,18,400.130369
6.685236,8,402.056962
9.920804,12,406.3904
7.539245,10,409.442668
1.044606,2,409.937732
2.73113,4,410.944344
1.269994,2,411.425482
2.796958,4,412.477094
2.030582,3,413.265946
1.732796,3,414.078222
16.802857,20,419.857467
17.269225,20,425.430893
4.425789,6,426.948672
17.615897,20,432.005798
2.822848,4,433.554731
4.006665,5,435.653871
3.775841,5,437.850071
7.195074,9,440.703645
1.039191,2,441.179008
7.545797,10,443.451853
4.432462,6,444.874625
6.30453,8,447.395262
6.151121,8,450.377752
8.349542,10,452.759369
4.20219,5,453.92481
10.740555,12,456.950736
10.076434,13,460.160465
10.380137,13,464.678662
11.017865,14,468.066051
5.906031,8,469.919086
2.794836,4,470.913646
11.369255,13,474.076727
5.528144,7,477.215285
4.177031,6,478.957235
17.265975,20,483.936264
9.052915,11,486.585963
10.211517,13,491.309523
3.741182,5,492.682395
11.271031,14,495.996588
3.982292,5,497.379832
10.70757,14,500.887593
5.239351,7,503.27213
7.449114,9,506.297784
2.515152,4,507.317447
6.553626,8,509.278057
4.190078,6,510.653321
6.505812,8,512.705204
16.8641,20,518.920344
8.362364,10,521.69014
6.179767,8,523.606488
8.242365,10,526.011297
17.499439,20,531.662651
9.689222,12,535.240312
4.572122,6,536.704435
10.782441,14,540.08798
9.512523,12,542.872738
6.514818,8,545.580106
2.859387,4,547.19783
11.883167,14,550.74791
17.396863,20,555.532441
5.733222,8,557.39969
8.205144,10,561.408149
10.264953,13,564.50025
10.316419,13,569.030368
8.625533,11,571.856569
17.637855,20,578.139055
4.785695,6,579.57217
1.763163,3,580.335669
1.106353,2,580.835469
11.616984,15,584.378241
2.446192,4,585.63358
7.079642,9,589.271526
10.608097,13,592.500519
2.80202,4,593.446612
5.659493,7,595.152143
17.47587,20,600.679423
3.701339,5,602.698281
4.357201,6,604.13459
5.445058,7,605.799355
11.035856,14,609.329932
11.634825,14,612.603568
16.686934,20,618.963731
1.569663,3,619.711623
8.987243,11,622.430228
7.788158,10,624.790155
5.933424,8,626.614307
9.141264,12,631.098389
9.784971,12,633.96226
9.751026,12,636.825003
2.111371,3,637.534062
3.572484,5,638.826146
7.948389,10,641.59269
10.818341,13,645.932387
10.306258,13,649.106534
3.887545,5,650.319794
9.800116,12,653.253607
9.927543,12,657.262778
6.533257,8,659.830938
9.138803,12,662.733196
1.71583,3,663.438602
4.539612,6,664.939566
17.150224,20,670.673223
5.686602,8,673.304175
9.900001,13,676.421933
8.37108,11,679.058482
16.976251,20,684.89016
2.88588,4,686.489645
15.313939,18,690.899255
8.19265,10,693.315128
17.479655,20,699.445877
17.362906,20,704.77649
10.327443,13,708.004428
7.726276,10,710.53623
4.771146,7,713.300485
9.924055,13,716.794866
5.349203,7,718.466598
5.749111,7,720.22194
16.804375,20,725.476166
0.995031,2,726.366277
8.541473,11,729.841942
5.616292,7,731.643814
16.608927,20,736.412731
10.754122,14,740.833331
