#{"t_start": 1764780285.0217392, "env_id": "MyCustomEnv-v0"}
r,l,t
6.352122,8,8.489159
6.686362,8,10.726725
3.643273,5,12.853184
17.241665,20,17.4708
10.372522,13,20.25296
1.070639,2,20.680167
6.686333,8,22.459574
5.746114,8,24.754236
3.638051,5,27.366977
1.047347,2,27.926391
9.055809,11,30.740535
4.304021,6,32.153014
2.543369,4,33.036045
1.710081,3,33.677192
2.879462,4,34.553423
8.988247,11,36.995424
4.461901,6,39.187635
4.783914,6,41.406367
18.272857,20,45.766659
6.45572,9,47.858138
10.841006,13,50.684351
11.595721,15,55.562421
16.948133,20,59.919419
17.692834,20,64.272822
3.29519,5,65.362945
18.363865,20,71.364177
4.22719,6,72.668563
7.169834,9,74.669254
1.017844,2,75.16978
16.456016,19,79.352984
1.107018,2,80.103732
6.934367,8,83.102012
10.852573,14,86.119649
1.796161,3,86.771882
4.449911,6,88.145003
10.518026,13,90.996885
13.705127,16,95.491564
18.524687,20,100.725194
5.554126,7,102.198956
2.578763,4,103.067587
5.179379,7,104.620649
7.520334,9,106.673822
3.864741,5,108.323683
9.95558,12,111.996361
9.826282,12,114.660714
3.841301,5,115.819061
16.16835,20,120.394668
9.44439,12,124.525094
2.865203,4,125.469532
7.550661,10,127.773984
5.038325,7,129.257433
1.808035,3,129.930811
7.853029,10,132.140941
1.83308,3,132.751157
5.52167,7,134.269517
4.16894,6,136.146074
9.745185,12,140.051108
3.816952,5,141.161437
8.554523,11,143.552082
9.178073,11,146.045304
6.477799,9,148.020183
4.902646,6,149.829836
9.1673,12,153.648393
1.082177,2,154.103812
1.77483,3,154.754688
5.663704,7,156.357715
6.172908,8,158.051861
11.687806,15,161.368482
8.750125,11,164.667492
17.028039,20,169.780672
7.559624,9,171.797481
7.196278,10,173.987842
2.774819,4,174.862758
2.584579,4,175.745658
3.606561,5,177.18904
4.902073,7,179.771946
2.910112,4,180.930898
6.492467,8,182.669513
2.594581,4,183.554176
7.265847,9,185.552282
3.726962,5,186.58501
1.950607,3,187.225598
3.473218,5,188.349414
10.297823,12,191.392255
8.756892,11,195.04093
8.203058,10,197.246219
8.348989,10,199.493607
18.439169,20,203.985737
4.443632,6,206.218393
1.013573,2,206.957536
17.444903,20,211.897348
11.015217,13,214.738361
6.958572,8,216.51363
1.744247,3,217.17317
3.002938,4,218.00662
11.99254,14,222.709304
9.495815,11,225.212094
5.438915,7,226.725413
2.391919,4,227.573141
9.171879,11,229.95766
17.039769,20,235.972213
16.494494,18,239.976373
10.168892,12,242.593848
7.347956,10,244.727134
8.227769,10,247.596969
8.308154,10,250.772539
8.277142,11,253.198481
3.324031,5,254.338562
3.654353,5,255.435864
2.746817,4,256.318177
10.874628,14,259.42514
1.951201,3,260.19733
0.973704,2,260.953952
7.724605,10,264.393793
2.951376,4,265.261654
4.780742,6,266.546334
2.946629,4,267.459021
17.561088,20,271.968817
7.637609,10,274.318341
2.603194,4,275.771286
6.663362,9,278.50217
1.688974,3,279.146961
8.619581,10,281.346867
8.898158,11,283.731134
3.013503,4,284.588199
9.992393,12,287.145445
6.285306,8,289.730356
4.820296,6,291.764538
3.553197,5,292.872181
6.06277,8,294.546075
1.837713,3,295.245826
17.781835,20,299.797214
3.511819,5,300.879058
17.611495,20,307.02571
12.973881,16,310.496978
3.531723,5,311.585265
3.528573,5,312.663156
8.266164,10,314.784077
2.806011,4,315.92756
9.467107,11,319.678329
10.697192,13,322.573756
6.583044,8,324.297342
9.911561,12,326.958482
5.243457,7,328.511533
1.063122,2,328.993995
4.434733,6,331.113189
1.02295,2,331.996116
16.234689,19,336.59211
6.582075,8,338.317739
5.418379,7,339.764229
16.894903,20,344.919171
11.598904,15,349.079243
18.929306,20,353.500124
11.465593,15,356.798054
8.503442,11,360.763389
8.767705,12,363.456141
4.636843,6,364.712505
5.944075,8,366.463497
18.550085,20,371.062393
11.287335,14,375.681204
1.640833,3,376.383872
17.638994,19,380.595308
5.331006,7,382.105887
2.929722,4,382.968984
1.866336,3,383.621533
2.893667,4,384.462448
8.434417,11,388.318999
7.537527,10,390.714141
6.439043,8,392.527132
5.880298,8,394.293971
3.041658,4,395.257283
17.557806,20,400.313618
6.367105,8,403.119964
6.12364,8,404.843611
6.660112,8,406.618083
4.530669,6,407.918676
7.980669,9,410.000272
6.494385,8,411.7227
9.616801,12,415.953142
13.183546,16,419.679518
3.10951,4,420.531257
4.240731,6,421.868541
5.217725,7,423.416394
2.769128,4,424.307991
7.469067,9,426.296322
10.365948,13,430.770905
8.734257,11,433.18099
4.732192,6,434.482939
17.187744,20,438.89888
9.41449,11,442.279104
3.852449,5,444.158067
16.455951,20,448.503911
8.587103,11,450.939181
17.226054,20,456.138395
6.184594,8,458.700014
6.441655,8,460.490671
1.784629,3,461.12511
2.008514,3,461.760801
3.653874,5,462.837587
3.810556,5,463.968694
11.040281,14,467.057694
8.126191,11,470.447093
9.91711,13,473.836496
7.637179,9,475.792485
7.996921,10,477.94515
5.779253,7,479.605471
10.843117,14,483.143725
8.797742,11,486.68611
4.899085,6,487.997163
2.860335,4,488.862208
16.321903,20,493.260247
4.537733,6,494.610436
1.871233,3,495.293838
2.065203,3,496.120051
1.885884,3,497.212893
8.455703,11,500.728728
4.457248,6,502.027915
2.658378,4,502.913828
10.229772,13,505.909093
5.839396,8,507.628927
4.837295,6,508.987023
9.418125,12,513.25761
4.664842,6,514.750419
1.819258,3,515.396716
5.469003,7,516.928031
5.329966,7,518.45889
9.402185,12,521.011923
8.511423,11,523.468244
5.151077,7,525.957686
5.124864,7,528.16632
11.951482,15,531.51186
3.575918,5,532.584951
2.712064,4,533.481207
7.839385,10,535.764537
10.033627,12,539.097019
1.015986,2,539.90522
14.344729,18,544.546552
3.802335,5,545.641749
9.680824,12,548.258511
17.607687,20,553.58806
8.615371,11,556.811945
1.935603,3,557.476418
9.900309,13,560.43026
2.877146,4,561.295354
2.875866,4,562.192224
1.963097,3,562.839942
2.748685,4,563.672275
1.048416,2,564.105975
9.98925,12,567.843037
17.063823,20,572.812239
5.831337,8,574.501249
10.024232,13,577.331285
1.071367,2,577.75849
9.919032,12,581.505961
6.929856,9,584.120888
4.441127,6,585.433523
18.186326,20,589.862475
1.878598,3,590.544503
3.302561,5,591.586264
1.871616,3,592.251449
2.091916,3,592.874815
11.043167,13,597.404363
2.754805,4,598.238943
2.065258,3,598.915963
4.183702,6,600.288429
4.325117,6,601.586061
4.48172,6,602.891226
3.922161,5,603.989909
11.114958,14,607.431128
15.645449,18,612.734319
9.495749,12,615.447798
16.865045,20,619.821103
4.371724,6,621.501958
9.555484,12,625.392766
8.182455,10,627.581845
1.862828,3,628.22927
8.782497,11,630.657747
5.771892,7,632.183017
7.640292,10,634.373978
1.954092,3,635.471308
2.839539,4,636.966365
10.340481,13,640.573917
4.43337,6,641.870778
1.784427,3,642.525245
10.874115,14,645.556445
3.665297,5,646.607069
7.512816,9,648.881172
1.756221,3,649.977588
10.318236,12,653.534342
4.250633,6,655.000288
6.916933,9,656.962327
16.783793,20,661.323325
5.194679,7,663.312442
13.107831,16,668.177154
9.597211,12,670.782656
7.140271,9,672.738646
10.756395,14,675.935814
2.204941,3,676.86475
5.776958,7,679.558287
17.476357,20,684.077525
6.748383,9,686.037211
17.572201,20,691.046016
4.316583,6,693.541589
1.830123,3,694.3915
3.346951,5,695.490223
7.581242,9,697.429452
8.047992,10,699.569143
5.506722,7,701.061857
17.143333,20,706.444311
3.574861,5,708.092188
18.27312,20,712.59978
16.494887,20,717.10079
2.697497,4,718.379748
17.996707,20,724.262006
9.482164,11,726.668175
6.27646,8,728.422666
8.164467,10,730.597666
6.957472,9,733.652734
1.718247,3,734.744849
10.84392,14,738.10815
6.562772,8,739.935258
5.837141,7,741.486152
17.714689,20,746.109681
1.90713,3,747.219414
11.368644,14,751.230603
7.215369,9,753.170213
5.74288,7,754.627527
1.221211,2,755.072906
1.940779,3,755.719594
2.72237,4,756.632514
11.464982,15,760.533524
5.264699,7,763.159736
9.804878,13,766.00628
3.750233,5,767.116029
11.065036,14,770.207807
2.882944,4,771.080898
6.165315,8,772.795205
16.611088,20,778.744705
8.639977,11,781.219604
9.2417,11,783.614083
6.88696,8,785.429507
3.930705,5,786.587199
2.029609,3,787.509613
3.830808,5,789.392081
10.084431,13,792.802517
7.595603,10,795.093258
1.063865,2,795.503556
9.694768,12,798.10416
6.864697,8,799.957375
6.08066,8,802.551858
4.388116,6,804.756606
11.635438,15,808.000962
5.589938,7,809.563091
3.777077,5,810.73866
2.01091,3,811.387804
4.971307,6,812.659617
18.831554,20,818.614072
4.58983,6,819.904111
7.347253,9,821.957552
10.486515,13,825.042377
4.712559,6,826.344602
1.00041,2,826.767808
2.710963,4,827.621344
8.01479,10,830.928881
2.774222,4,832.36899
1.060957,2,832.781115
2.921183,4,833.630133
17.328111,20,838.299495
1.03701,2,838.715605
7.898773,10,840.991297
5.817571,7,842.686133
2.689697,4,844.18707
8.872622,11,847.473818
9.56871,12,850.066926
10.101087,13,852.912051
18.252248,20,858.105838
3.826276,5,859.940161
16.98774,20,864.359052
9.266853,12,866.965784
6.585605,8,868.664174
3.59876,5,869.820374
6.320969,8,872.69528
7.739949,10,875.334327
5.989638,8,877.092396
11.668204,13,879.946287
18.083207,20,884.801449
10.187527,13,889.016633
9.794045,12,891.614583
2.563838,4,892.458522
5.28316,7,893.942878
4.827465,6,895.230627
7.351833,10,897.401741
18.431178,20,903.552867
9.248979,12,906.164823
8.698032,11,908.530861
2.797762,4,909.38047
1.021753,2,909.816947
1.150355,2,910.227185
7.025928,9,912.577875
10.788089,14,916.831209
10.614966,14,919.969595
5.97926,8,921.678389
10.097633,12,924.293808
11.366414,15,929.027348
3.053525,4,930.06458
8.216748,10,932.422027
3.935215,5,933.461838
1.024979,2,933.903392
7.722648,10,936.090145
3.396717,5,937.170999
5.717209,8,938.921781
10.184045,12,943.204319
10.261931,13,946.122452
5.36595,7,947.70988
2.576682,4,948.571024
11.639573,14,951.61276
8.35041,11,954.553941
2.02791,3,955.745779
8.41711,11,958.716743
17.306435,20,963.061363
19.292803,20,967.624809
7.867279,10,971.245377
11.104893,14,974.509764
2.819382,4,975.38836
3.641985,5,976.438084
9.881094,12,979.042868
6.342782,8,980.828019
10.249836,13,985.323087
1.791299,3,985.973225
8.316441,10,988.142345
3.478608,5,989.280921
17.55092,20,993.68462
11.879471,15,998.424741
1.954092,3,999.206218
9.199081,11,1001.732965
4.708272,6,1003.080787
3.817477,5,1004.192614
5.282605,7,1005.700802
3.717644,5,1006.890804
8.262281,10,1009.239427
3.977513,5,1011.144937
2.597659,4,1012.61764
10.845727,14,1015.700517
4.466331,6,1017.085891
5.273496,7,1018.599772
9.857244,11,1021.054583
4.264949,6,1022.455921
2.57181,4,1023.956805
8.568781,10,1027.179053
9.307301,11,1029.637082
8.177122,11,1032.069114
4.034141,5,1036.436586
10.392219,13,1040.851803
7.121219,9,1042.824643
8.197148,10,1044.97663
10.997502,14,1047.986387
11.019755,13,1051.320941
7.474406,9,1054.471678
10.560932,14,1057.560052
6.620103,8,1059.282144
7.412726,9,1061.227499
9.339899,12,1063.808471
18.321171,20,1069.896849
10.290421,13,1072.793651
10.917685,14,1075.87689
7.305645,9,1077.821387
5.971498,7,1080.347725
16.300749,20,1085.364891
2.677687,4,1086.253175
8.71475,11,1088.662677
7.871918,10,1090.798367
6.916502,9,1093.408879
3.932803,5,1095.300805
3.656904,5,1096.548717
3.565115,5,1097.8385
4.38859,6,1099.243424
10.399891,13,1102.086265
7.226535,9,1104.066327
3.60855,5,1105.140479
11.474337,14,1109.887181
9.699944,13,1112.735488
5.998441,8,1114.518181
7.196411,9,1116.492873
10.280533,13,1119.31405
5.013521,6,1121.597597
10.689672,14,1125.450177
1.040274,2,1125.875757
8.951813,11,1128.247318
5.015742,6,1129.555303
11.388504,14,1132.622026
9.768609,12,1136.554493
10.585283,14,1139.900069
7.609283,9,1141.888879
16.455368,20,1146.237241
10.630131,14,1150.6666
16.084937,20,1155.27987
8.407473,11,1157.69156
9.491098,12,1160.317044
17.91502,20,1166.381149
4.731831,6,1167.632892
3.894723,5,1168.698516
18.151552,20,1173.051349
7.02946,9,1175.0768
3.775482,5,1176.927613
10.344921,13,1180.723288
5.756292,7,1182.287151
9.132369,11,1184.758054
2.898186,4,1185.678597
8.919301,11,1188.208608
10.124351,13,1192.677193
11.399215,14,1195.805309
9.435093,12,1198.585249
9.349538,12,1201.20528
7.785457,10,1204.001596
4.26268,6,1206.240983
1.710482,3,1206.997315
16.954645,20,1211.293442
17.07236,20,1215.708075
17.061677,20,1221.673795
16.101695,20,1226.091316
17.774956,20,1230.718501
16.965514,20,1236.625546
