#{"t_start": 1764573321.6659877, "env_id": "MyCustomEnv-v0"}
r,l,t
9.854778,13,3.072467
2.016756,3,3.745986
17.807114,20,8.857266
2.75967,4,10.596853
1.780425,3,11.856984
17.951775,20,16.800977
1.807047,3,17.536153
4.434049,6,18.882077
1.018789,2,19.358017
16.507113,19,25.337459
7.558563,9,27.787017
9.800695,12,30.796106
19.074879,20,35.623065
8.349675,11,39.693254
2.674864,4,40.933154
2.57154,4,41.883974
7.735045,10,44.238437
7.489461,10,46.565474
3.785765,5,47.712644
8.108757,11,50.627618
3.352755,5,52.619887
5.854465,8,55.159477
8.131195,9,57.292881
4.526014,6,58.707731
3.866205,5,59.920654
11.145795,14,63.279248
5.548805,7,65.526427
8.791462,11,69.226449
9.906389,12,72.193866
9.628126,12,75.119647
12.109804,14,78.828993
3.602775,5,80.784329
2.042981,3,82.11168
4.455203,6,83.556076
3.692389,5,84.740222
8.969296,12,87.591614
7.066383,9,89.789471
10.497345,14,94.015576
10.996115,14,99.91448
10.769099,13,103.042655
1.786776,3,103.724231
4.338757,6,105.150191
8.414402,10,107.567748
4.305279,6,108.976224
5.313249,7,111.638126
9.123498,12,115.174258
1.896307,3,115.881907
1.908617,3,116.591793
3.79653,5,117.831722
4.598554,6,119.280375
3.862234,5,120.408498
10.837279,14,124.302793
8.331552,10,127.806286
8.489504,11,130.374248
1.052045,2,130.866681
10.683497,14,134.358271
3.842231,5,135.52022
2.963781,4,136.499207
17.863052,20,142.884154
10.438007,13,145.992522
8.389053,10,148.306715
10.135951,12,151.42631
7.411958,9,155.061944
10.030787,12,157.948888
3.588804,5,159.19832
17.383352,20,163.990936
4.768979,6,165.766949
6.761989,9,169.109856
6.61841,8,171.008821
10.591503,14,174.411827
8.96001,12,177.297439
18.260464,20,183.664347
4.368946,6,185.120538
8.220731,11,187.74245
15.688375,18,191.97046
3.725789,5,193.425223
11.494403,15,198.432775
7.684282,10,200.92952
2.745012,4,201.899861
2.632154,4,202.89088
3.721207,5,204.283579
9.339422,12,207.641804
4.901472,6,210.264385
9.444139,12,213.534816
17.896069,20,218.626678
3.086948,4,219.6105
4.92556,6,221.255405
3.7218,5,223.44815
5.039793,6,225.52113
9.382325,12,228.460575
9.202056,11,231.122074
10.780819,14,234.682786
10.572205,13,239.799712
1.975423,3,240.483845
2.88334,4,241.383353
8.578509,11,244.147585
7.477614,10,246.575005
3.446235,5,247.738474
10.941205,14,252.742863
10.928584,14,256.595547
8.766345,10,259.061945
10.166607,13,262.529319
8.370884,10,266.672145
1.160258,2,267.125704
7.153736,9,269.257145
10.586065,13,272.409089
4.397738,6,273.908724
13.838111,15,278.806182
10.970638,13,282.54899
16.759858,20,288.425848
2.684417,4,289.436651
11.352483,15,294.734062
17.628463,20,299.778764
6.027389,8,301.702283
9.011369,11,304.752989
3.869604,5,306.891672
2.629524,4,308.438997
2.927771,4,309.406524
9.75999,12,312.229136
3.737433,5,313.438557
16.762678,20,318.892423
7.519398,10,322.590072
18.012781,20,327.790632
17.885788,20,333.455559
16.563836,20,339.282032
9.441941,11,342.121943
5.944761,8,344.018744
1.128704,2,344.482996
6.924215,9,347.432755
1.932334,3,348.664161
17.983654,20,353.857828
16.942613,20,358.894301
4.041183,6,360.752871
1.616579,3,361.882622
2.968854,4,363.521641
8.900027,11,366.13857
9.038162,11,368.900626
5.66769,7,370.561239
17.416062,20,376.438705
11.345531,15,380.463398
18.055,20,385.311616
10.078892,13,389.365851
16.433504,20,394.937193
10.437575,13,398.253062
4.987787,7,399.983331
8.766777,10,403.149301
2.002174,3,404.313876
7.391898,9,406.813523
7.260807,9,409.034699
5.989444,8,410.940605
17.282799,20,416.275442
11.4715,15,421.202656
10.316542,13,424.35795
7.79719,10,426.769815
16.443014,20,433.317816
4.619813,6,434.770607
10.718761,13,437.868904
10.67153,14,441.274997
5.619223,7,442.960636
9.906282,12,447.572339
15.521427,19,452.301791
7.257349,10,454.700037
2.735187,4,455.664451
12.691724,15,460.665441
3.958528,5,462.140294
5.880971,8,463.97731
4.60892,6,465.43776
10.641072,13,468.606057
7.469837,10,471.051428
9.696,12,475.519968
9.009031,12,479.171323
8.166501,10,482.611871
10.780086,13,486.202122
3.446234,5,488.253944
10.658476,14,492.006147
7.455769,10,494.439062
7.816443,10,496.75926
2.785217,4,497.695936
2.63701,4,498.672724
8.567676,11,503.08031
10.353948,13,506.182456
16.613741,20,511.082801
10.396708,12,514.503062
10.008291,12,518.385673
10.496289,14,521.805022
5.483084,7,523.46107
5.396962,7,525.149211
4.353126,6,526.615341
4.887775,6,528.69956
9.812024,13,532.893961
16.963605,20,537.618819
8.478241,11,540.226049
9.70388,11,544.22676
1.949081,3,545.202461
10.593611,14,548.530652
4.325325,6,549.962996
10.138085,13,553.108541
16.465578,20,559.757211
2.610112,4,560.812005
2.039884,3,561.625856
10.761969,14,565.087054
5.260888,7,566.861181
17.063655,20,574.387106
5.894831,8,576.387171
11.661043,15,580.143139
9.721949,12,583.524167
18.076846,20,590.000561
5.039793,6,591.455264
17.654957,20,596.443906
10.042832,13,601.160852
17.571762,20,606.19103
12.174146,16,610.249384
6.297113,8,613.451583
3.002938,4,614.893687
17.783603,20,619.660075
16.368547,20,624.435493
10.372882,13,629.110632
12.237801,16,633.015557
5.606312,8,634.976694
4.928189,7,636.627787
16.419551,20,642.946834
6.320367,8,645.001605
5.854326,8,646.898199
9.894323,13,650.004914
6.394291,8,652.03068
8.04883,11,656.316169
7.000589,9,658.454925
10.577407,14,661.757749
2.770863,4,662.728254
2.833243,4,663.665282
10.361311,13,667.536194
16.589465,20,673.418336
10.816586,14,676.801066
1.862893,3,677.523058
11.33787,15,681.894654
4.649654,6,684.117231
11.360398,15,687.794611
7.128627,9,689.871283
3.801628,5,691.022991
9.980485,13,694.19694
7.999149,10,698.174177
1.996782,3,698.855949
18.066297,20,703.653098
17.862752,20,708.962646
7.394076,10,712.64023
6.769225,9,714.719153
11.323151,15,718.362739
1.082868,2,718.848572
1.961973,3,719.543638
17.297579,20,725.982092
3.732854,5,727.227668
12.856552,15,732.485504
8.113654,11,735.100812
10.534511,14,740.186117
11.977092,16,744.025476
8.739347,11,746.752123
4.505682,6,748.295597
9.195654,12,752.14538
8.343202,11,755.428298
6.389072,9,757.690477
10.822801,14,760.923343
17.307854,20,768.152338
17.746625,20,773.001132
10.810555,14,776.299006
3.060112,4,777.334555
2.151572,3,778.203847
2.613672,4,779.792767
16.434281,20,785.462318
6.99066,9,787.823056
4.557113,6,789.204083
2.79432,4,790.139704
1.656918,3,790.837404
4.773908,6,792.529812
17.797201,20,798.662628
8.570784,10,800.976534
4.418346,6,802.512162
4.248356,6,804.031351
11.667718,15,809.187671
11.878494,15,812.984399
6.655203,9,815.199492
9.163116,11,817.829226
7.811521,10,820.603187
6.284454,8,823.836715
17.274149,20,828.567628
17.476671,20,833.271051
2.807877,4,834.683759
1.687631,3,835.878629
10.07571,13,839.84905
7.406067,10,842.34757
10.785251,13,845.440468
1.911768,3,846.172496
3.572262,5,847.331746
2.652749,4,848.981094
6.567806,9,852.323431
14.997975,18,857.371099
7.397099,10,859.879814
10.641313,14,864.781635
5.852789,8,867.253476
5.945918,8,870.589154
10.687052,14,874.14538
2.817798,4,875.149213
11.246217,15,880.79511
16.984206,20,885.715285
17.479659,20,892.412995
5.041218,7,894.339026
16.383796,20,899.310652
3.713763,5,900.596165
7.699724,10,903.341263
8.3101,10,907.287948
10.614233,14,910.89138
17.57427,20,915.775609
16.298004,20,922.345587
9.175333,12,925.31021
7.954221,10,927.61454
8.345798,11,930.657043
17.30962,20,937.205387
16.347074,20,941.996398
3.818043,5,943.165628
10.503267,14,948.055358
10.275442,13,951.25389
6.040442,8,953.244573
7.896961,10,955.670366
12.442101,16,960.354956
9.937516,12,964.060798
11.729958,15,967.639165
17.74606,20,972.798962
17.680396,20,978.985627
5.752112,7,980.635181
3.976776,5,981.889545
16.668265,20,987.03779
6.61617,9,990.376585
7.897072,10,992.828604
10.701128,14,996.193339
17.062633,20,1001.651719
6.595206,9,1004.735377
0.942569,2,1005.203245
16.549901,20,1009.939512
1.676414,3,1010.623563
11.224028,14,1014.029914
1.728901,3,1015.166414
16.479655,20,1021.227077
10.16922,13,1024.587443
6.232957,8,1026.487068
1.813028,3,1027.287205
9.269408,12,1031.733111
17.453687,20,1036.632299
17.123482,20,1041.307462
