#{"t_start": 1764558135.9505126, "env_id": "MyCustomEnv-v0"}
r,l,t
9.864348,13,3.293898
7.671239,9,5.737112
5.572035,7,8.246111
5.428373,7,11.038109
1.082791,2,11.527722
15.489042,18,16.204973
5.401756,7,17.820347
5.818543,8,19.760739
2.972437,4,21.053871
7.743133,10,24.80618
16.378742,18,29.239201
6.424034,8,31.239215
1.109897,2,31.715823
15.353945,17,37.068128
17.531953,20,42.448926
10.894418,14,45.833186
4.433769,6,47.433274
17.545148,20,54.071844
10.730697,14,57.478797
5.838634,7,59.220157
5.727235,7,60.904324
2.853166,4,61.837548
2.138318,3,62.717175
5.172573,7,65.512992
6.415555,8,67.810204
10.171385,13,70.939629
7.434205,9,73.112645
17.167583,20,79.20333
5.952887,7,81.377656
3.019515,4,82.348733
5.490412,7,84.10762
1.684922,3,84.844433
1.753333,3,85.577132
10.147376,13,88.859641
8.813833,11,92.387751
6.17612,8,95.146166
5.287424,7,96.92896
9.997794,13,100.253535
9.263566,12,103.13304
4.482019,6,104.915147
3.441031,5,106.890136
18.646085,20,112.299055
10.591417,13,115.469128
6.769383,8,117.442682
2.784196,4,118.693572
3.269604,4,120.324104
7.413738,9,123.094975
11.28544,15,126.759694
1.746978,3,127.479326
3.965347,5,128.749571
10.558974,13,131.915809
9.423892,12,136.42246
9.516745,12,139.245111
9.409572,12,142.141942
4.458544,6,143.603997
7.570299,10,146.237733
5.581145,7,149.10061
2.750391,4,150.932979
9.208668,11,154.483499
2.971836,4,155.399194
1.857199,3,156.098128
17.539944,20,161.632598
8.527002,11,165.141677
5.590273,7,166.928864
2.649967,4,167.845464
3.010122,4,168.81086
10.907398,14,172.324483
4.912951,6,173.778417
4.940853,7,176.549297
16.924991,20,181.92359
4.615102,6,183.363817
4.526617,6,184.808263
7.303663,9,186.966292
10.922475,14,191.918057
3.817572,5,193.135956
8.675183,11,195.707262
7.386729,9,197.819972
8.35774,11,200.541103
6.195849,8,203.064252
10.247361,13,207.111857
3.865221,5,208.25895
9.928428,13,211.380867
2.93187,4,212.307206
4.42845,6,213.719628
18.288583,20,220.225675
11.629668,14,223.787717
6.720006,8,225.657691
6.890744,9,227.860498
1.840189,3,228.584555
7.58935,10,232.294976
2.693832,4,233.68347
1.165986,2,234.191741
3.474593,5,235.395411
1.633002,3,236.149684
11.405005,15,239.83071
10.117462,12,242.763072
7.315318,9,246.071017
16.842139,20,251.467749
4.42716,6,252.935226
4.749154,6,254.349247
8.448969,11,256.942867
18.816693,20,263.523763
10.613079,13,266.805713
7.069526,9,269.052331
3.570013,5,270.299254
10.232765,13,274.977951
6.296071,8,276.894527
1.085768,2,277.389292
9.015577,11,280.043699
9.989073,12,283.020668
10.639667,14,287.403491
4.770712,6,289.47508
3.52045,5,290.727913
1.15,2,291.254889
11.289262,14,294.791389
10.860857,12,297.741407
5.525981,7,299.981033
6.604883,8,303.094875
18.043271,20,307.792968
1.084723,2,308.234704
3.92779,5,309.409298
8.393982,10,311.883317
5.61565,7,314.297198
3.662635,5,316.407294
16.964895,20,321.32717
11.057678,14,324.797707
3.823931,5,325.949506
11.272632,14,330.878165
10.472736,13,334.073052
10.229959,12,336.959715
1.744192,3,337.690114
6.867609,8,339.647733
9.095907,11,343.71015
1.671634,3,344.727151
18.032394,20,349.601276
1.150086,2,350.080908
6.969112,9,352.272161
1.792404,3,353.022758
6.882422,9,355.802978
5.67092,7,358.538259
6.149934,8,360.484981
8.562924,11,363.074321
4.245272,6,364.537704
6.062308,8,366.420892
3.802465,5,367.630563
1.875169,3,368.443496
7.59392,9,372.025795
5.920187,8,373.946941
17.395089,20,378.692998
1.773314,3,379.434285
3.685451,5,380.615133
6.532645,8,382.86742
8.369136,11,386.783827
8.771308,11,389.382925
16.686137,20,394.327979
3.461241,5,395.584484
1.753333,3,396.63922
17.537547,20,403.218904
1.892763,3,404.01712
2.998639,4,405.051019
3.481371,5,406.366704
2.105652,3,407.114366
7.770735,9,409.37398
8.439266,11,414.028525
7.561973,9,416.382097
10.260334,13,419.560981
7.240114,9,421.655102
2.734707,4,422.634165
11.691631,15,428.278238
16.553394,20,433.330522
7.20647,9,435.55489
1.950827,3,436.347012
4.809752,7,438.529152
16.706853,20,445.094389
2.75027,4,446.053278
17.017234,20,453.271485
8.330965,11,456.64786
9.126855,11,459.357929
17.448272,20,464.280536
3.667599,5,465.918213
6.554859,8,469.108267
17.040863,20,473.866479
5.904438,8,475.801934
5.705291,7,477.551129
5.308676,7,479.424166
18.96164,20,485.515703
1.816449,3,486.237766
2.866839,4,487.260459
1.685295,3,487.979055
16.432984,20,492.940814
4.530408,6,495.288085
2.972585,4,496.764718
8.277097,10,499.148661
3.596786,5,500.344716
16.915494,20,505.081646
17.347015,20,511.456027
4.25219,6,512.88801
4.576414,6,514.305152
5.809237,7,515.968597
1.207577,2,516.480672
9.268282,11,519.123748
11.353485,15,524.501684
1.913884,3,525.210536
6.234796,8,528.56716
4.593319,6,531.487624
7.973323,10,533.989194
11.298593,15,539.212411
16.357823,20,544.003821
2.882068,4,544.926541
4.438768,6,546.380687
6.624507,8,548.315132
9.570594,12,552.782848
5.058029,7,554.424329
3.707687,5,555.603894
4.027773,6,557.080904
10.092342,13,560.17272
3.488462,5,561.355434
17.85106,20,567.73756
1.716208,3,568.435532
1.832904,3,569.117706
10.436037,13,572.138699
