#{"t_start": 1765081780.0749576, "env_id": "highway-fast-v0"}
r,l,t
11.177867,15,2.913797
8.78162,10,4.437594
11.646225,16,6.837724
7.886136,11,8.528542
3.569021,6,10.105183
7.83595,10,12.786188
2.36636,4,13.800813
10.965074,15,16.85274
3.46542,5,17.611815
5.745979,7,18.669539
11.719287,16,21.181436
24.430121,30,26.086305
5.396181,7,27.870692
3.232131,5,29.138986
4.182092,5,30.257996
5.179826,7,31.329665
14.211652,20,34.351484
3.365421,5,35.151043
12.097899,14,37.302274
3.696881,5,38.065454
5.548814,8,39.268553
8.06635,12,42.187977
8.718355,12,44.922447
1.699378,3,45.391923
6.497553,9,46.752628
2.882137,4,47.363321
7.611706,9,48.764529
7.134179,10,50.270156
4.099681,6,51.367481
5.445388,7,52.483003
7.696998,10,54.126914
1.632132,3,54.711904
10.45141,14,58.324331
6.910616,8,59.912306
3.117558,5,60.739926
3.386887,6,61.672337
10.565468,15,63.928681
10.534207,15,66.213319
7.1687,10,67.863285
6.50266,10,70.26014
6.499404,9,72.743145
6.352018,8,74.213567
4.878856,6,75.164127
18.598719,24,78.79389
16.577667,22,82.245523
2.785948,5,82.987321
4.299955,6,84.390634
4.417604,7,86.207519
7.648785,10,88.384144
2.013001,3,88.856095
19.810508,26,92.931983
4.633074,7,94.018303
3.597343,5,94.797774
19.678848,25,99.204746
8.602008,12,102.358704
3.264844,5,103.146407
22.684528,30,107.629864
13.345263,17,110.21013
7.181168,10,111.844377
15.465425,21,116.972958
3.901731,6,117.940368
10.818324,15,120.298947
2.319247,4,120.910924
13.765741,16,123.464929
2.746796,4,124.09926
5.698857,7,125.183846
1.985968,3,125.645185
8.08497,12,128.290405
7.481197,10,130.934612
1.051567,2,131.251831
2.615152,4,131.932406
8.24488,10,133.560643
6.696881,9,134.984708
3.712841,5,135.769788
19.066835,26,139.691117
6.448537,9,141.183451
12.479734,15,145.108898
15.612389,21,148.461573
5.685375,8,149.671202
16.951697,20,152.877763
15.768983,23,157.123662
9.51264,11,160.040251
11.848428,15,162.379196
21.718084,30,167.09419
12.118141,17,169.772577
21.79941,30,176.254174
6.133287,8,177.457523
8.263187,11,179.151512
3.450352,5,179.923878
2.630399,4,180.561666
12.986888,18,183.375516
7.986888,12,185.953914
3.529632,5,187.225051
3.46574,5,188.553738
2.05113,3,189.075241
7.24787,10,190.584418
4.611553,6,191.517278
4.43279,7,192.603494
2.912696,4,193.311626
8.118063,10,194.936339
7.513002,10,196.433394
6.797881,10,197.941878
3.864005,5,198.798412
14.079347,17,203.250421
2.450269,4,203.869794
7.112267,10,205.476189
1.946334,3,206.003183
1.797688,3,206.445915
12.198539,14,208.558054
1.715153,3,209.019775
2.180129,3,209.493024
22.617401,30,214.868756
2.05113,3,215.685924
4.098755,6,217.249892
2.749108,4,217.953807
3.945407,5,218.721357
4.716084,7,219.77529
2.714573,4,220.403283
2.679045,4,221.038406
14.784456,21,224.301905
9.209901,11,225.964881
0.915775,2,226.277923
4.250085,6,227.227139
7.799377,10,229.737404
10.53002,14,232.845897
6.446021,8,234.213478
1.213001,2,234.535779
16.134754,23,237.928615
4.611562,6,238.896164
3.612959,5,239.691711
4.565211,6,240.617717
7.683065,10,242.329758
2.664801,4,243.416514
1.715153,3,244.305379
12.096865,14,247.279057
3.078284,4,247.895418
3.365562,5,248.682496
6.263933,9,250.119582
5.544882,7,251.182967
2.666044,4,251.786054
21.319916,30,256.566161
6.728617,9,258.902285
2.563732,4,259.921015
3.612841,5,261.057789
2.681819,4,261.662909
12.09816,17,264.36056
7.778686,9,265.770766
5.31838,8,267.028783
10.446569,13,268.99203
22.149521,30,275.453999
10.646571,14,277.594515
3.65235,6,278.496022
20.678344,27,282.633921
6.312183,8,283.88806
10.11253,12,286.382671
6.417021,8,288.400188
9.265337,12,290.788219
2.913158,4,291.409467
2.796921,4,292.006618
4.712496,6,292.924856
7.046837,10,294.485759
6.479307,8,295.735871
1.846796,3,296.191306
6.319304,9,297.529441
5.879308,7,298.617139
3.548486,5,299.379325
5.544779,7,301.144609
9.996242,12,304.318523
5.232038,7,305.399024
4.899057,6,306.345217
8.552363,13,308.33652
1.684974,3,308.783532
2.680129,4,309.422088
15.447637,21,312.639216
7.699641,11,314.603642
1.798754,3,315.371898
5.385954,8,317.554523
6.481821,9,319.36768
6.73205,9,320.730654
13.043945,16,323.185952
2.648486,4,323.773717
9.797473,13,325.810742
23.383029,30,331.749853
8.352249,12,334.063913
2.013463,3,334.517313
1.764354,3,334.977518
1.765423,3,335.432606
1.118234,2,335.756983
18.452135,26,339.740079
3.586842,6,340.654824
2.732397,4,341.282303
19.534669,28,347.546816
10.132124,14,349.681986
3.2,5,350.446031
4.132089,6,351.347363
11.863925,16,353.884825
8.218402,12,355.726684
6.819014,10,357.282024
14.912394,20,362.250381
12.586537,19,365.209334
5.811693,7,476.493929
2.681819,4,477.539574
22.850154,30,482.669191
4.812179,6,483.602707
4.966407,7,484.650006
22.943076,29,489.591847
19.165142,26,495.008867
15.484888,21,498.227175
1.864354,3,498.716834
5.429578,7,499.853892
3.466044,5,500.629378
19.951722,29,506.46032
3.365736,5,507.633714
7.167183,10,509.237158
23.164265,30,513.849848
9.881145,12,515.712345
22.249547,30,522.413556
23.6491,30,526.990017
8.411904,10,528.523067
4.579045,6,529.481898
9.446278,11,531.282603
23.510602,30,537.641864
6.446842,9,538.994196
13.399279,19,541.949544
20.014462,27,546.044268
4.513469,6,547.441762
2.46636,4,548.481258
6.844931,9,550.861652
21.719912,30,555.407566
14.045561,18,558.227117
21.435996,27,563.526779
12.49828,15,566.495114
5.578685,7,567.569393
12.699367,16,570.100725
1.180129,2,570.437383
8.518845,11,572.090639
5.901424,9,573.473316
13.764172,19,577.161044
15.729832,20,581.391867
