#{"t_start": 1765095621.9192502, "env_id": "highway-fast-v0"}
r,l,t
4.164222,6,9.795229
21.45135,30,10.820468
12.496546,15,11.195925
3.581819,5,11.432553
2.813158,4,11.768714
1.051567,2,11.809787
1.8,3,11.885165
22.752589,30,12.552938
6.120214,9,12.810265
25.348897,30,13.476548
23.150099,30,14.124878
14.011823,19,14.609371
14.351452,20,15.177664
23.28503,30,15.98826
4.013118,5,16.19927
9.364793,13,16.699073
17.350248,23,17.6443
26.278019,30,18.840575
26.509289,30,20.003568
8.244944,11,20.256681
22.115426,30,21.022115
15.896931,21,21.511255
1.765465,3,21.591382
4.679363,6,21.751444
11.214224,14,22.12469
13.944228,18,22.621047
24.695671,30,23.403777
25.518377,30,24.13127
23.045509,30,24.782602
13.834465,18,25.290454
1.979667,3,25.37937
2.680129,4,25.470879
17.543377,23,26.084879
4.131507,6,26.220519
1.799377,3,26.314602
4.933445,6,26.467027
23.177927,30,27.174959
1.118234,2,27.223202
1.915775,3,27.30325
14.964187,19,27.74375
26.729071,30,28.487637
1.781819,3,28.56168
24.201103,30,29.168378
2.714487,4,29.257941
2.812378,4,29.341301
8.510399,11,29.567815
7.277959,9,29.767856
25.243707,30,31.124797
19.410359,25,32.054176
1.913463,3,32.218856
23.231087,30,33.491615
5.366666,7,33.834088
26.576071,30,34.547722
22.793147,30,35.213674
7.745025,9,35.412689
3.712261,5,35.558236
10.948933,15,35.982442
9.031511,11,36.255063
7.612154,9,36.438879
23.31788,30,37.166594
23.467106,30,37.914615
29.243466,30,38.5734
27.84399,30,39.301173
3.279313,4,39.39127
24.413264,30,40.089766
2.682442,4,40.214218
6.845973,8,40.443875
7.232094,10,40.731998
7.178118,9,40.959685
3.646836,5,41.097769
21.618307,30,41.703309
5.535327,8,41.874401
24.551824,30,42.665373
7.179819,8,42.901361
21.116987,30,43.573279
14.17854,17,44.168288
10.316735,14,44.783315
25.380963,30,46.093267
21.66809,30,47.363272
21.835365,30,48.187056
1.632711,3,48.255384
2.879045,4,48.333716
9.345277,11,48.611906
22.895478,30,49.398903
7.552037,11,49.721082
23.84526,30,50.438313
20.644085,27,51.077517
13.096755,17,51.485274
2.912696,4,51.600487
12.586218,15,51.985497
2.549108,4,52.10561
11.644261,14,52.462054
7.714658,10,52.694535
4.065421,6,52.863388
7.612168,9,53.054835
22.644933,30,53.882134
12.043276,15,54.314941
7.745157,9,54.583387
7.781227,11,54.878578
13.360993,17,55.338374
11.045044,13,55.697651
8.476241,10,55.914465
24.162043,30,56.630385
14.247768,18,57.10568
23.04469,30,57.968294
17.36486,23,58.896086
26.984516,30,60.024153
4.683693,6,60.22927
9.085318,12,60.642501
13.178627,18,61.438166
10.682418,13,62.038601
6.912263,9,62.286922
21.377871,27,62.837057
3.381819,5,62.961828
3.012065,4,63.056492
11.265782,14,63.362925
17.53203,23,63.998889
2.664801,4,64.120633
2.013463,3,64.203616
24.72904,30,64.852259
16.279429,21,65.398692
5.098815,7,65.536424
6.078879,8,65.730443
2.515152,4,65.831619
16.845002,21,66.343698
6.278002,8,66.562702
2.979045,4,66.652421
8.978855,12,66.922532
