#{"t_start": 1765096728.6915834, "env_id": "highway-fast-v0"}
r,l,t
2.649108,4,0.169356
18.841506,25,0.750213
2.880129,4,0.834223
7.750529,11,1.072095
26.497805,30,1.829544
19.712222,25,2.396777
28.211354,30,3.012236
23.614639,30,3.755225
6.731917,10,3.979107
27.045636,30,4.759754
11.22994,14,5.176769
9.752352,13,5.525185
2.581819,4,5.620644
23.999451,30,6.384967
4.645869,6,6.559492
9.310556,12,6.862985
26.59798,30,7.537565
2.566044,4,7.657439
10.552619,15,8.013983
11.845189,14,8.351733
26.428649,30,9.329632
9.246948,13,9.877925
21.853206,30,11.05022
27.907796,30,12.107971
22.04418,30,13.272187
26.864754,30,14.149226
24.243286,30,14.797504
23.730091,30,15.539861
4.199377,6,15.719195
7.632606,10,16.007814
3.913423,5,16.146058
3.696299,5,16.281961
15.508354,20,16.845396
19.313364,24,17.487754
1.799377,3,17.593725
22.418759,30,18.367891
3.446173,5,18.502173
1.118234,2,18.577225
3.153508,5,18.732135
12.800658,16,19.117243
5.900064,8,19.292211
2.465378,4,19.406565
3.679045,5,19.531513
7.952169,9,19.826087
2.913463,4,19.93806
17.778589,23,20.399772
17.375945,22,21.009752
15.679027,20,21.414346
7.148428,9,21.610534
1.913463,3,21.704171
6.481857,9,21.93228
25.461234,30,22.596116
4.446029,6,22.744324
7.046446,8,22.96858
2.647907,4,23.065329
3.812074,5,23.201885
2.646796,4,23.307623
9.778629,12,23.684229
4.547819,6,23.911294
13.481517,19,24.719383
3.466044,5,24.916877
2.800013,4,25.109728
14.717764,20,25.994061
7.266051,10,26.347921
7.627913,10,26.752593
3.585988,6,26.989886
7.978088,10,27.408283
24.040571,30,28.344847
28.374761,30,29.155249
14.361147,20,29.632208
16.24419,21,30.192273
2.746334,4,30.321466
21.596782,27,31.010258
2.465421,4,31.093918
23.076975,28,31.840816
23.584477,30,32.577446
22.184675,30,33.334009
6.866571,8,33.604023
24.331345,30,34.321071
1.765041,3,34.399492
13.344004,16,34.795835
6.37868,8,35.004112
6.013112,7,35.207231
22.344891,28,35.889992
2.666667,4,35.999846
3.581769,5,36.128733
20.350207,26,36.801171
15.74436,20,37.306977
22.175007,28,38.077091
5.412221,7,38.377597
9.611712,12,39.009199
4.264263,6,39.190691
23.076759,30,40.313301
7.711967,11,40.787166
23.034561,30,42.025081
9.466672,14,42.547903
6.778364,8,42.750738
14.009109,17,43.233473
8.145526,9,43.486552
22.122265,28,44.185877
10.062385,13,44.483034
3.746796,5,44.58131
23.061993,30,45.306023
18.496193,26,46.012748
14.981659,19,46.492088
2.153097,3,46.570464
3.797343,5,46.689355
7.551039,9,46.893755
4.381819,6,47.053836
22.415216,30,47.758535
24.545022,30,48.569445
27.641911,30,49.400446
9.932183,12,49.661115
22.144681,29,50.290698
22.366346,30,51.015596
3.466044,5,51.137491
13.877582,18,51.539616
15.361957,19,52.025574
2.880129,4,52.149297
5.998829,9,52.366233
22.316057,30,53.408373
5.011503,7,53.647846
4.11885,5,53.851778
5.579313,7,54.170509
3.896095,5,54.35511
5.233333,7,54.694109
2.046796,3,54.794682
2.863588,4,54.98208
1.846796,3,55.102906
1.632711,3,55.212372
2.714487,4,55.351633
3.432045,5,55.618477
23.153052,30,56.752974
2.946492,4,56.85679
22.919319,30,57.600661
13.746491,17,58.043706
11.647925,15,64.938655
1.879667,3,65.017949
22.348631,30,65.728338
10.112647,13,66.059248
23.943417,30,66.818946
22.298494,30,67.958063
21.430813,29,69.240352
21.800809,30,70.415446
8.564005,11,70.882691
4.065211,6,71.085754
23.395269,30,71.74144
25.175187,30,72.418842
25.274744,30,73.135111
10.162991,13,73.448655
20.778521,27,74.03715
7.143766,9,74.234772
5.21296,7,74.400518
2.912696,4,74.508602
27.89531,30,75.293619
4.913417,6,75.482988
17.495821,23,75.995776
3.999384,6,76.124651
2.812696,4,76.214011
12.84446,17,76.649344
13.164262,17,77.091289
21.4983,28,77.812683
1.766045,3,77.892158
3.945505,5,78.061547
20.346517,26,78.751013
12.143461,16,79.216463
3.119315,4,79.299772
15.845894,20,79.801183
24.114436,29,80.593932
13.611348,17,80.987974
26.244435,30,82.139807
9.478851,11,82.662678
7.579047,10,83.019261
5.644453,7,83.278994
23.998868,30,84.464642
25.182051,30,85.56795
4.280129,6,85.749577
9.232408,11,86.071927
23.14793,30,86.795604
1.6,3,86.899271
9.929482,13,87.223768
22.351968,30,88.019121
23.643171,30,88.774899
1.798374,3,88.857866
3.348486,5,88.982979
21.384721,30,89.638856
4.513423,6,89.756626
22.653553,30,90.544143
7.480686,10,90.754007
20.2519,28,91.389169
24.845211,30,92.195891
8.963532,11,92.481488
10.378844,12,92.754826
23.119023,30,93.428552
5.399384,8,93.620393
5.545353,7,93.780932
5.745367,7,93.970681
2.846029,4,94.084733
5.58342,8,94.266975
13.349108,18,94.680586
22.73406,30,95.376201
6.113509,9,95.71614
21.452312,30,96.757532
23.711315,30,97.914526
12.046987,15,98.545317
17.477919,23,99.871923
5.234798,8,100.128524
8.396715,10,100.344139
3.945505,5,100.45683
5.250944,7,100.650274
2.118315,3,100.73108
26.285901,30,101.471014
2.080129,3,101.555283
24.50721,30,102.242105
12.682239,17,102.715572
10.168082,14,103.080395
21.685384,30,103.762654
23.049299,30,104.502313
12.79849,18,104.913854
22.020142,30,105.614141
8.384382,11,105.896381
6.331198,9,106.126391
24.475571,30,106.869103
22.728845,30,107.66413
2.283602,4,107.767973
25.847384,30,108.498717
2.013463,3,108.564661
25.861443,30,109.416748
8.244252,10,109.680067
1.985968,3,109.75241
25.647899,30,110.699524
22.832084,30,111.940913
7.479307,9,112.292296
22.251043,30,113.508638
2.679507,4,113.733898
5.512641,7,114.087717
2.766362,4,114.252088
22.77661,30,115.064937
2.046796,3,115.133538
23.581876,30,115.871861
6.678685,8,116.076878
2.15258,4,116.173562
22.885057,30,117.032958
24.480714,30,117.730991
2.581819,4,117.821543
22.019327,30,118.533844
21.786538,30,119.365545
2.779825,4,119.450105
10.120176,14,119.787493
8.696714,11,120.057799
7.482751,11,120.333124
22.097866,30,121.153717
22.564494,30,121.926015
24.13341,30,130.254681
9.212027,11,130.529466
12.565696,17,130.913963
24.38533,30,131.605769
25.415554,30,132.322019
6.117558,8,132.509111
2.666781,4,132.615753
27.909657,30,133.377372
2.067501,3,133.450241
10.165256,12,133.732825
17.545367,22,134.31308
25.376558,30,135.072159
22.918096,30,135.778743
1.798754,3,135.853024
15.862098,21,136.425925
3.652886,6,136.597721
22.651719,30,137.363294
21.650314,30,138.116463
2.633333,4,138.26235
4.452369,6,138.516688
6.644747,9,138.877395
21.850805,30,140.190686
2.766362,4,140.370585
3.979313,5,140.579874
23.282106,30,141.922224
2.666667,4,142.072721
10.545791,12,142.439764
23.678422,30,143.264083
24.680947,30,143.891497
23.577406,30,144.606656
5.915142,8,144.826646
22.901712,30,145.533863
22.415558,30,146.314034
6.912845,9,146.503789
23.313113,30,147.198422
2.746174,4,147.279292
22.085099,30,147.948216
9.147013,13,148.292285
16.177198,21,148.874352
4.496881,6,149.029043
2.646796,4,149.109697
23.01959,30,149.871711
22.217249,30,150.530607
23.750105,30,151.350639
22.433322,30,152.111417
23.730635,30,153.097729
23.295531,30,154.273263
2.465421,4,154.454809
1.849108,3,154.601665
22.115789,30,155.749801
12.977775,16,156.356349
10.796552,14,156.870644
2.481894,4,156.957439
20.768416,30,157.564013
4.517513,6,157.688889
22.416879,30,158.432255
22.19915,30,159.189044
10.945496,14,159.644923
23.46741,30,160.275045
13.450227,18,160.679887
5.565997,7,160.840334
21.619327,30,161.509645
21.085015,30,162.120986
22.716537,30,162.826156
23.851166,30,163.567707
18.877663,24,164.176487
9.543705,12,164.493227
17.67728,21,165.018348
24.210403,30,165.735172
4.453554,7,165.893364
23.150002,30,166.664263
8.544902,11,167.026135
14.414128,19,167.790735
21.864932,30,168.990555
21.516125,30,170.380065
23.917614,30,171.388082
22.478894,30,172.095524
22.917616,30,172.91135
7.162457,9,173.168344
6.164842,8,173.362886
2.56573,4,173.472466
22.618962,30,174.209421
14.616666,20,174.696035
3.348486,5,174.828596
15.262976,20,175.329153
2.915775,4,175.460476
23.184788,30,176.226797
3.930677,5,176.365924
22.929528,30,177.07947
23.551265,30,177.689237
16.510961,21,178.193882
24.56228,30,178.870745
10.36609,14,179.197354
1.864354,3,179.274508
20.631619,27,179.956644
6.818351,10,180.220527
26.274362,30,180.91559
3.46573,5,181.052669
21.950493,30,182.178871
7.153096,10,182.546067
24.548998,30,183.731626
22.352236,30,185.006202
3.431423,5,185.217699
22.544684,30,185.91514
5.796716,7,186.084897
5.79813,8,186.266537
22.952626,30,193.657085
2.517558,4,193.748726
21.231266,26,194.435617
21.217287,30,195.131505
26.194613,30,196.081159
22.897895,30,197.171094
24.420176,30,198.346237
1.913001,3,198.48783
22.835688,30,199.799388
11.833779,16,200.231395
22.852048,30,200.847961
22.320221,30,201.540724
22.54851,30,202.241177
21.315425,27,202.894544
22.251353,30,203.616541
5.178885,7,203.780966
8.211603,11,204.078778
6.011553,8,204.297328
23.918637,30,204.986708
22.97739,30,205.667827
22.615625,30,206.391156
7.999995,11,206.631113
6.049292,8,206.797645
23.684736,30,207.533245
24.096672,30,208.303452
10.101762,14,208.601046
13.778694,16,208.975127
5.399362,7,209.157292
3.286497,5,209.266925
21.965729,30,210.216323
22.53445,30,211.445942
1.279667,2,211.544925
22.01515,30,212.64799
3.683175,5,212.890973
3.330438,5,213.10405
