#{"t_start": 1765173382.3165011, "env_id": "highway-fast-v0"}
r,l,t
6.046446,7,1.38876
1.118234,2,1.688906
6.979308,9,3.051598
18.696974,26,7.004162
9.013864,12,8.811267
8.619779,10,10.512924
1.698799,3,11.345703
5.766348,8,13.460134
4.779825,6,14.730765
5.064177,7,15.784873
7.712192,9,17.187768
3.199377,5,17.961553
6.612348,9,19.38963
4.369053,7,20.47769
17.465651,21,23.714739
3.745508,5,24.683714
23.553044,30,31.014128
22.284499,30,35.582107
5.34529,7,36.687925
15.145645,22,41.244093
2.180129,3,42.082567
24.043285,30,46.854772
12.331774,17,49.639529
3.117903,5,50.443207
13.279312,15,53.014217
11.232769,16,57.091438
15.298769,22,60.462072
4.31432,6,61.396268
6.618932,8,62.732096
2.05113,3,63.218174
3.183601,5,63.988998
6.619251,10,65.68345
6.43223,8,67.24613
1.848486,3,68.080875
9.752052,15,71.5052
3.419023,6,72.450247
9.88015,12,74.218748
17.685399,25,78.031238
2.952639,4,78.670379
2.433333,4,79.247316
11.365779,16,82.277502
6.764591,10,84.852606
4.12017,6,85.820752
1.946334,3,86.346855
7.712586,10,87.864303
3.479045,5,88.646543
10.513159,15,90.892936
1.980129,3,91.354527
1.313463,2,91.659618
8.33505,11,93.369595
17.048709,22,98.313513
17.314283,24,102.323724
1.913001,3,102.795303
22.584717,30,107.422817
2.912378,4,108.024689
4.71983,7,109.347399
5.018905,7,111.237085
3.368979,5,112.637702
4.546486,6,113.720867
6.145407,8,114.965014
6.77982,8,116.238552
11.796628,15,118.593678
22.378579,30,123.277056
12.678222,14,127.062205
2.5,4,127.680255
7.116074,9,129.053831
6.115548,9,130.429308
8.066404,12,132.219595
7.10114,10,134.150559
10.679308,13,136.266809
18.095961,24,141.977192
5.702617,9,143.400371
9.232131,13,145.462016
3.266044,5,146.231495
7.046123,9,147.639071
2.146029,3,148.099109
10.630273,14,150.339847
10.846446,13,153.312934
6.566667,9,155.757076
10.976755,15,158.187131
5.346491,7,159.332113
11.232498,15,161.686126
3.079313,4,162.312232
14.535995,20,165.387496
5.764889,8,167.380743
7.179819,9,169.76752
22.086534,30,174.373405
9.829736,11,176.023683
10.510858,12,177.947414
1.715775,3,178.429852
7.045869,9,179.914243
5.913118,7,181.829438
6.078886,8,183.889977
6.432727,9,185.247667
16.615957,23,188.671898
4.920221,8,189.89278
4.517208,6,190.79642
12.477618,16,193.213219
16.582345,22,198.343398
6.264764,9,199.852731
4.565688,6,200.809913
6.729576,8,202.028416
3.201993,5,202.830793
1.732045,3,203.291875
4.478284,6,204.248801
12.309766,15,206.572477
11.030199,13,209.242718
9.411391,11,212.025234
1.913463,3,212.494798
3.06843,5,213.297149
2.879667,4,213.935368
9.212194,12,215.900772
4.165379,6,216.856507
2.75236,4,217.487891
7.701707,11,219.275464
6.620175,9,220.808379
6.902359,10,222.829618
