#{"t_start": 1765171767.9426084, "env_id": "highway-fast-v0"}
r,l,t
22.745858,30,5.951324
10.279507,13,8.419984
1.915153,3,8.873603
9.600304,14,10.953079
1.715775,3,11.407187
2.812696,4,12.020465
8.329733,11,13.690783
6.977714,9,15.02839
4.447819,6,15.939914
7.085684,10,17.792793
2.647907,4,18.892179
7.519609,11,21.536159
2.053097,3,22.036923
14.046529,20,25.006505
6.445709,8,26.251254
2.483022,4,26.843773
12.532769,18,29.729993
5.185972,7,30.788911
6.430089,8,32.68128
8.748335,11,35.439772
1.880129,3,35.923104
5.101999,8,37.190786
1.865465,3,37.626329
10.665471,16,40.064404
11.99911,17,42.60915
18.182874,25,47.454978
17.844243,21,51.516984
22.951996,30,56.098737
23.668668,30,61.931669
6.149805,8,63.74909
23.315498,30,68.390167
8.966675,13,70.366933
3.398711,5,71.149385
3.533293,5,71.929645
22.376736,30,78.149481
5.91264,7,79.245978
3.712261,5,79.97077
12.199386,17,82.472854
3.581819,5,83.202506
3.93418,5,84.010886
4.732791,7,85.118516
1.766045,3,85.615838
5.612275,8,86.837603
5.519028,8,88.518932
6.411439,8,90.624675
17.143311,20,94.148643
5.529751,7,95.237854
6.74662,9,96.589796
5.232724,7,97.657475
19.564077,25,101.502237
7.881471,11,104.468275
3.083906,5,105.693779
15.396143,21,108.938411
8.485038,12,110.842039
2.599377,4,111.467191
11.246098,14,113.611791
4.513158,6,114.549726
1.732132,3,115.036899
10.119057,15,118.77556
1.880129,3,119.647544
9.751849,15,121.914592
1.864354,3,122.379452
21.867657,30,126.985094
1.933448,3,127.440166
10.485883,13,129.428041
3.679045,5,130.609744
14.346977,19,134.948928
4.5787,6,135.896659
20.565654,26,139.896721
3.76405,5,140.672315
2.213158,3,141.137654
9.197958,11,142.80303
11.63282,16,146.301859
21.666697,30,151.715393
3.431423,5,152.489657
5.612647,7,153.580006
8.433018,12,155.413996
2.532045,4,156.046987
4.846446,6,156.976918
4.784995,6,157.910989
1.732711,3,158.779141
15.277938,19,163.087
4.833683,7,164.174457
3.799432,6,165.069838
2.812696,4,165.721149
9.915821,14,167.882021
1.732711,3,168.349817
2.846334,4,168.957182
1.851061,3,169.436076
3.532711,5,170.192581
8.319243,11,171.86556
6.148196,9,174.048332
3.663539,5,175.444225
3.265465,5,176.481541
3.480129,5,177.284594
12.030799,16,179.808958
1.913463,3,180.577786
14.012568,17,183.380739
3.083906,5,184.173076
8.2622,11,185.825104
4.780083,6,187.30725
6.584464,8,189.51405
5.197337,6,190.784482
9.198447,13,192.767877
20.930026,26,196.651732
4.012615,6,197.537849
4.781898,7,198.647646
3.112647,4,199.309549
4.267017,7,200.456244
3.279313,4,201.603185
4.499696,6,203.18526
1.6,3,204.014972
5.844522,8,205.407481
4.813203,7,206.518508
