#{"t_start": 1765188317.0916913, "env_id": "highway-fast-v0"}
r,l,t
8.06544,11,0.34741
11.644699,14,0.621765
2.913463,4,0.704537
1.946796,3,0.77913
13.89799,17,1.25366
24.028044,30,2.396193
1.765465,3,2.536454
6.277305,8,2.840208
8.166672,12,3.429805
2.845712,4,3.578642
1.980129,3,3.716391
2.766362,4,3.904583
9.114221,13,4.372475
23.596843,30,5.228241
3.979313,5,5.364428
8.233067,11,5.614733
3.266044,5,5.743062
15.518939,20,6.240733
24.511743,30,6.838579
8.812682,12,7.129187
2.146029,3,7.191529
9.945838,14,7.548831
17.265767,21,8.053167
9.833287,12,8.383277
1.051567,2,8.442385
19.161269,25,9.013353
2.180129,3,9.069129
21.115838,27,9.714679
22.417932,30,10.422989
14.477486,18,10.806648
5.379831,7,10.980685
1.984982,3,11.04472
3.646173,5,11.155436
3.413909,5,11.289306
3.779323,5,11.434149
8.046029,10,11.656474
7.315151,10,11.880975
1.766667,3,11.963946
11.92975,16,12.291196
10.484182,15,12.586071
26.494892,30,13.268671
20.015733,26,13.809274
21.751107,30,14.415242
23.417393,30,15.317627
2.931021,4,15.476302
22.452849,30,16.757775
22.085387,30,17.795368
16.363877,22,18.768245
9.398115,12,19.097628
21.07639,25,19.609202
3.451555,5,19.709912
5.235645,7,19.901921
5.64821,8,20.08689
7.779779,9,20.298967
17.993908,22,20.798175
23.278857,30,21.46237
25.346416,30,22.073529
15.029096,19,22.531433
2.846029,4,22.626772
23.229518,30,23.35193
21.719153,27,23.981971
24.243753,30,24.669437
12.946376,17,25.057986
25.26515,30,25.718589
5.681509,7,25.898161
3.019247,5,26.008862
24.443186,30,26.644727
13.112176,16,27.029691
27.38293,30,27.710599
2.880129,4,27.802807
16.213688,20,28.320254
22.363438,30,29.041136
3.351641,5,29.251848
7.695946,9,29.580751
10.810777,15,30.173317
9.250587,13,30.681758
1.999063,3,30.816279
24.395133,30,31.960958
21.866878,30,32.858584
23.267846,30,33.566429
27.149338,30,34.24996
23.779994,30,34.998602
7.645857,9,35.208506
4.296486,6,35.357074
22.978219,30,36.125533
23.178224,29,36.889769
4.552465,6,37.048389
14.115719,19,37.515846
10.31987,13,37.873184
21.783833,30,38.535192
24.442907,30,39.177455
5.765428,8,39.328396
21.730215,30,40.059215
2.879045,4,40.157586
28.877779,30,40.923079
3.448809,5,41.023913
21.451375,30,41.699284
15.919876,21,42.262565
15.378549,18,42.727545
23.760941,30,43.782599
20.697337,26,44.683683
5.280078,7,44.886952
25.529122,30,46.040985
12.49611,16,46.598614
8.02912,9,46.809335
6.645538,9,46.995703
9.644014,13,47.27731
8.77982,11,47.559815
11.662937,15,47.864689
12.577909,16,48.201043
3.879667,5,48.336497
8.93119,13,48.673579
7.945503,9,48.900782
4.031551,6,49.034873
8.086445,10,49.287331
11.519598,17,49.701745
9.784578,12,49.983001
4.652874,7,50.123167
11.367017,15,50.483167
6.880083,8,50.700721
10.194979,13,51.030059
11.649897,16,51.386553
18.296843,24,51.976294
10.928673,15,52.331542
2.945545,4,52.428828
4.578283,6,52.601131
10.715079,14,52.909398
5.098133,7,53.096264
10.564777,13,53.402779
18.249921,25,56.832042
22.082873,30,57.753429
22.117571,29,58.829105
8.379715,11,59.213775
23.462886,30,60.370615
16.018419,22,60.843462
23.764527,30,61.547385
2.912212,4,61.638164
23.24542,30,62.391129
9.25258,12,62.683451
3.766322,5,62.845339
2.019667,3,62.932571
4.565525,6,63.092426
7.779157,9,63.285988
10.8765,13,63.546783
6.312641,8,63.700493
2.782442,4,63.786443
25.726676,30,64.527627
17.985754,22,65.031644
21.952611,30,65.69247
2.953508,5,65.789885
7.617856,9,66.020409
3.046492,4,66.101608
22.451812,30,66.818113
22.416828,30,67.420143
26.061302,30,68.068309
7.34529,9,68.305499
21.883908,30,68.953431
9.13145,11,69.180406
22.817022,30,69.841831
2.515775,4,69.927925
1.980129,3,69.995671
25.296304,30,70.944006
21.202655,30,72.034061
21.63067,30,73.103596
23.77788,30,74.203858
15.14737,18,74.630058
6.362925,8,74.85963
14.617482,19,75.22412
23.153555,30,75.857497
8.862347,11,76.096548
23.716533,30,76.797854
8.299372,10,76.995
22.797523,30,77.57528
4.945974,6,77.696717
13.298441,17,78.121832
15.478501,20,78.496861
4.232706,6,78.616618
9.911723,13,78.932277
6.778214,8,79.139259
1.049108,2,79.19799
6.812213,9,79.422389
22.345168,27,80.030938
1.6,3,80.105134
22.734169,30,80.660388
25.596906,30,81.392103
11.245595,15,81.791954
22.879635,30,82.482167
12.077696,15,82.824601
23.248138,30,83.529639
23.682898,30,84.209785
21.832442,30,85.34411
21.752317,30,86.357082
8.969329,12,86.696902
22.529682,30,87.802834
22.18185,30,88.676178
22.452316,30,89.380588
22.085069,30,90.090674
12.477935,17,90.503188
21.769329,30,91.120592
4.579203,6,91.242139
21.950758,30,91.896411
2.146021,3,91.97222
9.763912,12,92.301163
24.229178,30,93.014637
21.997963,30,93.661754
5.113112,6,93.803085
8.069016,12,94.071656
11.045059,15,94.442939
14.479198,19,94.84359
20.852631,30,95.462519
12.251382,18,95.893353
21.797891,30,96.538594
23.417072,30,97.184926
4.012641,5,97.295806
10.247215,12,97.559549
22.544264,30,98.239092
4.945499,6,98.493085
7.097923,9,98.827612
4.482442,6,99.073546
22.71566,30,100.109132
7.645407,10,100.429556
7.667106,10,100.827683
26.426174,30,101.920762
5.829777,8,102.139681
19.301707,28,102.761678
7.462425,9,102.999455
23.762901,30,103.730151
1.851061,3,103.79572
1.180129,2,103.84831
4.47983,6,104.012246
27.462201,30,104.620872
17.713155,23,105.15388
21.485679,30,105.765661
1.951567,3,105.827631
23.741528,30,106.488926
24.285137,30,107.150469
2.599377,4,107.265871
21.030009,27,107.875727
6.713509,9,108.033248
7.681794,11,108.26477
20.796364,27,111.51438
11.186259,16,111.90472
22.650933,30,112.910779
23.798697,30,113.99326
20.079518,26,115.006951
21.653512,30,115.913131
22.368936,30,116.521992
2.779825,4,116.610658
22.899407,30,117.271962
24.608816,30,117.916918
21.534475,30,118.545921
9.548202,13,118.78214
23.082596,30,119.354435
21.785588,30,119.941915
22.19676,30,120.619871
9.053554,12,120.910586
20.077499,26,121.455707
24.235106,30,122.163612
21.752619,30,122.873598
24.283794,30,123.576937
22.985974,30,124.505023
21.020182,30,125.241365
24.1137,30,126.077859
22.417828,30,127.329946
23.210646,30,128.406222
23.353555,30,129.479668
22.61114,28,130.223686
21.58658,30,130.929147
22.017869,30,131.574133
22.01925,30,132.217257
21.618387,30,132.796643
22.320215,30,133.430499
23.74679,30,134.179543
22.017769,30,134.852265
22.585391,30,135.468224
23.347961,30,136.105394
22.450327,30,136.755882
23.802035,30,137.356118
21.102663,30,138.022107
13.066044,18,138.382309
3.61893,5,138.47733
25.644399,30,139.183304
12.346203,15,139.499492
9.102313,12,139.841397
22.24624,30,140.861464
4.147906,6,141.042445
21.998795,30,142.058929
22.08578,30,143.077605
22.318088,30,143.949213
23.83014,30,144.687455
21.498188,27,145.298623
1.819667,3,145.38759
23.844659,30,146.083539
21.418726,30,146.718014
22.58307,30,147.329587
22.751991,30,147.956774
18.564011,26,148.509804
21.784169,30,149.174612
22.931462,30,149.761149
20.383908,30,150.440865
22.185684,30,151.095299
21.784149,30,151.647608
24.917959,30,152.302525
15.245671,18,152.715148
22.151707,30,153.354312
6.866019,10,153.582453
13.299727,19,154.256249
21.852925,30,155.477576
23.177461,30,156.650727
25.785216,30,157.66078
23.151961,30,158.322971
22.520209,30,158.87224
6.753244,9,159.076257
21.478139,28,159.658927
4.600309,7,159.812532
21.18414,30,160.479352
22.418633,30,161.20878
22.068629,30,161.839616
23.786546,30,165.262989
21.968673,30,165.890389
21.852899,30,166.530735
25.396546,30,167.188065
22.584449,30,168.054427
13.300001,18,168.657056
21.365862,30,169.706113
22.620175,30,170.785372
23.583893,30,171.589078
