#{"t_start": 1765185982.9179285, "env_id": "highway-fast-v0"}
r,l,t
4.879785,6,0.207419
8.9133,12,0.48626
9.296571,12,0.741152
9.099688,13,1.05849
2.113001,3,1.132365
5.516356,8,1.328807
1.632711,3,1.431165
10.847915,15,1.73336
6.61264,8,1.944332
9.577465,12,2.22994
4.019777,5,2.371323
9.065387,13,2.667283
20.345484,25,3.233951
8.896977,12,3.476745
23.64576,30,4.560239
3.366044,5,4.785926
6.878849,8,5.132863
6.110711,8,5.424182
1.6,3,5.519025
1.979667,3,5.631634
8.899704,12,6.045844
24.294739,30,7.16265
1.879667,3,7.269379
8.614802,10,7.64273
2.4,4,7.748316
8.112402,11,8.011727
10.749302,15,8.406098
4.312174,6,8.57711
20.45229,26,9.287055
23.018933,30,10.065865
26.47687,30,10.725344
2.752263,4,10.82133
9.850276,13,11.123826
22.674151,30,11.831357
25.530034,30,12.503561
22.744027,29,13.115008
9.1825,11,13.3487
22.067698,30,13.989703
24.64568,30,14.597005
21.931437,30,15.30576
3.119551,5,15.438564
11.344642,15,15.831916
2.319247,4,15.924222
23.408652,29,16.62102
25.358173,30,17.333765
27.311235,30,18.369599
3.615775,5,18.518611
2.846021,4,18.638646
21.878303,28,19.672136
1.846796,3,19.797739
1.118234,2,19.88493
24.998709,30,20.969431
5.999392,9,21.303482
3.798834,6,21.456604
23.23147,30,22.021128
6.378821,9,22.249945
15.10982,18,22.708547
5.178752,7,22.877866
2.46636,4,22.975824
10.379243,14,23.30049
2.76405,4,23.376781
11.715096,14,23.735564
23.344702,30,24.407336
6.335991,9,24.629651
7.763703,11,24.90757
1.731021,3,24.967299
21.483289,25,25.500933
13.194355,17,25.896727
26.830625,30,26.518843
23.51042,30,27.312309
13.179158,16,27.667812
3.882786,6,27.786374
22.015472,30,28.499542
22.809798,30,29.121193
7.678896,10,29.350048
6.711721,8,29.531408
6.230871,9,29.776532
1.279667,2,29.82176
2.646796,4,29.904352
25.010621,30,30.555636
10.381008,13,30.889058
28.694076,30,31.623522
9.119316,13,32.187146
1.8,3,32.293366
2.93418,4,32.435883
7.585351,9,32.801349
23.48209,30,33.843123
2.646174,4,34.002985
27.509964,30,35.221697
24.309535,30,35.965478
6.91264,8,36.16399
9.198505,13,36.479594
6.250375,8,36.67691
14.748802,21,37.152778
3.645407,5,37.291973
2.680129,4,37.38305
3.15311,4,37.529287
5.798175,8,37.768149
26.209925,30,38.494525
16.448487,22,38.981802
22.0668,30,39.602626
23.427831,30,40.35606
11.197025,14,40.747422
15.465405,22,41.249678
12.445503,14,41.558105
13.635996,17,41.937638
9.266218,13,42.288723
22.662972,30,42.923836
25.908471,30,43.558403
21.682323,30,44.208671
26.477853,30,44.899632
9.467042,11,45.205857
24.26201,30,46.267099
17.644311,23,47.106607
23.568001,30,48.202897
4.012656,5,48.421306
3.913158,5,48.642438
8.946829,13,49.080342
22.777156,30,49.730743
2.879363,4,49.827847
23.047396,30,50.522036
13.713999,16,50.932192
17.445899,22,51.472963
2.046796,3,51.553721
17.177744,24,52.158704
16.079525,22,52.675613
8.597383,11,52.929042
3.013158,4,53.056185
3.729729,5,53.173211
2.046796,3,53.241319
2.779507,4,53.338697
15.928608,20,55.498007
4.233373,6,55.62759
11.845357,13,55.9095
24.543283,30,56.609736
3.085972,4,56.67899
4.013118,5,56.792104
8.166006,12,57.052901
3.179825,4,57.147862
1.815775,3,57.218399
2.880129,4,57.289861
5.812641,7,57.429149
8.197661,12,57.730819
5.318488,7,57.885421
8.966672,11,58.243904
6.248136,8,58.458842
5.446029,7,58.684629
2.599378,4,58.793499
5.079714,7,59.047481
10.21897,15,59.703508
22.61506,30,60.715586
10.377953,12,61.158758
5.614954,7,61.454576
7.51264,9,61.746863
22.349852,30,62.838578
25.182279,30,63.565818
22.532998,30,64.164767
3.696872,5,64.288835
19.931114,25,64.880916
23.229323,30,65.627435
26.684381,30,66.318015
1.766667,3,66.403665
23.349209,30,67.072443
16.56933,23,67.617304
23.28471,30,68.369332
17.743349,23,68.826474
11.379548,15,69.136718
22.544748,30,69.796944
21.586265,30,70.425735
6.178795,8,70.573777
23.665065,30,71.221083
22.351078,30,71.929461
1.915775,3,72.009777
4.630513,6,72.147608
2.153204,4,72.22926
3.845989,5,72.335175
23.981801,30,73.0344
18.644736,21,73.790554
23.247293,30,74.894713
1.980129,3,75.021481
23.249567,30,76.004013
22.950881,30,76.977009
5.87978,7,77.13858
24.46153,30,77.773879
21.097521,28,78.52889
24.017049,30,79.170877
11.29707,14,79.515862
24.050779,30,80.136711
9.445039,11,80.417197
22.418634,30,81.135369
16.212173,19,81.580148
3.684278,5,81.704698
22.763593,29,82.380422
23.053461,30,83.164515
22.683304,30,83.913593
12.445466,15,84.26584
4.515152,6,84.397854
21.951412,30,85.112458
23.711294,30,85.790997
1.766045,3,85.850463
23.877951,30,86.504502
8.997086,11,86.923015
1.213001,2,86.995108
23.516604,30,88.129476
7.412372,9,88.432183
2.598711,4,88.609195
24.849347,30,89.745717
22.981686,30,90.68943
18.183245,24,91.254686
22.083545,30,91.92083
8.86349,11,92.189962
3.033068,5,92.298026
4.314487,6,92.431508
22.006832,27,93.116452
7.332203,9,93.319994
6.381851,9,93.527208
4.445322,6,93.675751
25.885935,30,94.38591
22.25219,30,95.154491
2.566045,4,95.261812
23.312163,28,95.952399
10.244309,13,96.328037
1.919045,3,96.402132
9.479156,11,96.698369
7.07874,9,96.966927
13.68417,19,97.41042
22.278408,30,98.04827
3.316356,5,98.220761
23.017311,30,98.850496
7.931437,11,99.06451
3.666322,5,99.238804
6.611561,8,99.444613
23.095465,30,100.103342
4.413158,6,100.258652
6.711825,8,100.432824
24.230913,30,101.40295
18.949062,26,102.414388
26.417677,30,103.559733
12.863647,18,104.225515
17.379183,20,104.722451
1.866045,3,104.796144
2.533333,4,104.872571
22.816105,30,105.521078
2.915471,4,105.633467
5.534167,8,105.827389
17.543973,23,106.344859
23.31155,30,107.162096
2.697688,4,107.281296
15.511291,20,107.766163
13.192423,17,108.10623
12.685452,16,108.475827
17.829105,22,110.531085
6.71453,9,110.723607
5.745829,7,110.908751
4.01109,5,111.034801
21.519281,30,111.736473
24.318115,30,112.492583
21.999044,30,113.206019
3.481515,5,113.319155
23.76132,30,113.97721
11.264813,16,114.44131
2.531021,4,114.575048
3.999435,6,114.751687
23.813498,30,116.059856
1.880129,3,116.208439
22.398082,30,117.284019
3.746796,5,117.487162
2.146021,3,117.616094
20.248,26,118.332744
22.133509,30,118.965025
22.482319,30,119.604115
23.417068,30,120.307532
19.143528,24,120.96671
6.984179,9,121.216944
9.710978,13,121.495231
11.964803,17,121.849383
25.327838,30,122.55955
8.283402,10,122.785123
1.953097,3,122.838947
10.052309,15,123.228421
5.21903,7,123.362084
22.119581,30,124.018459
22.699936,30,124.679915
6.532428,9,124.863727
3.432711,5,124.961913
20.111732,25,125.567451
7.283086,9,125.784825
4.278928,6,125.905975
3.848301,5,126.024005
23.282793,30,126.643145
21.384139,30,127.382262
22.329358,30,128.194795
23.051428,30,129.233552
1.213001,2,129.300617
2.368391,4,129.499673
10.485353,13,129.979632
3.079313,4,130.125828
15.248801,21,130.702237
2.779825,4,130.829703
5.51187,7,131.139848
21.784719,30,132.051262
15.747184,19,132.459569
2.046796,3,132.526184
3.945407,5,132.61579
7.599378,10,132.809817
22.547645,30,133.515401
23.344927,30,134.142525
21.818935,30,134.741396
26.576531,30,135.462862
15.012695,20,135.919696
2.532131,4,136.01155
23.052507,30,136.671724
12.433077,18,137.145627
9.681882,12,137.417386
23.249576,30,138.007037
25.280513,30,138.652166
3.964634,6,138.778512
23.816614,30,139.427658
21.085379,30,139.978382
24.311256,30,140.626657
4.548296,6,140.789324
16.177919,20,141.261372
2.765422,4,141.33542
4.198176,6,141.448128
2.715153,4,141.536111
1.879667,3,141.60534
25.052891,30,142.653128
25.029699,30,143.89008
22.549259,30,144.971085
16.246796,21,145.747867
8.900307,13,146.026853
6.179819,7,146.210588
2.433333,4,146.303147
7.213158,9,146.524347
15.095773,18,146.945368
28.246445,30,147.595827
18.527755,22,148.043329
6.081474,8,148.233799
2.863588,4,148.331378
6.478233,8,148.516005
3.90004,6,148.655738
7.89875,10,148.917099
22.163666,30,149.515505
5.485059,8,149.688704
21.786882,30,150.312083
23.051096,30,150.886166
5.745757,8,151.072857
21.819552,30,151.651476
11.033327,14,151.987718
5.382442,7,152.209128
12.078842,16,152.556771
9.697903,13,152.848413
10.779779,14,153.175807
3.166401,5,153.278597
24.350513,30,153.891372
24.895287,30,154.595169
24.117602,30,155.337298
23.343618,30,156.33455
12.347725,16,157.03116
22.112236,28,158.025714
4.979709,7,158.281705
22.451156,30,159.554959
19.584837,27,160.207088
22.81391,30,160.856442
22.285553,30,161.657415
15.595417,21,162.136134
21.044587,28,162.733084
3.913158,5,164.592157
22.934187,30,165.370105
21.346017,28,165.983451
16.446418,23,166.480629
19.098199,27,167.140759
10.818618,15,167.425987
21.951418,30,168.102758
8.245367,10,168.353024
21.685631,30,169.020091
21.350513,30,169.866948
3.085972,4,170.010278
25.777315,30,171.034566
22.652661,30,172.01632
10.995558,15,172.574012
17.652932,22,173.262167
22.128962,30,173.826118
3.013158,4,173.927497
23.152312,30,174.552629
6.466016,9,174.782315
5.246705,7,174.933798
23.178532,30,175.681445
22.817706,30,176.386309
25.176667,30,177.009311
23.577918,30,177.648129
1.913001,3,177.718621
25.382427,30,178.406304
22.717267,30,178.971234
1.213001,2,179.017208
3.645712,5,179.173993
14.777166,17,179.58845
21.753279,30,180.303068
22.71738,30,180.899213
2.58392,4,180.988215
19.216217,26,181.617882
21.698749,30,182.227477
23.197799,30,182.856017
21.815954,30,183.614201
19.843105,26,184.610129
23.893683,30,185.674755
7.411533,9,185.944953
23.051022,30,187.127069
3.796396,5,187.233989
21.586499,30,187.877936
18.563814,21,188.375334
5.72022,9,188.559041
21.585021,30,189.199669
24.716557,30,189.79847
23.865012,30,190.433658
7.081014,10,190.620635
22.466897,30,191.30214
5.983602,8,191.491928
2.498712,4,191.595049
4.433074,7,191.767208
5.378746,7,191.925144
23.264164,30,192.498474
5.132115,7,192.626591
11.131842,15,192.963044
11.728225,15,193.299531
21.848447,29,193.942737
21.984416,30,194.494101
23.84521,30,195.175607
6.69974,10,195.396217
2.813158,4,195.492575
5.234443,7,195.67676
6.465819,10,195.897284
24.07885,30,196.626791
21.38658,30,197.477348
3.797383,5,197.720765
13.066139,18,198.433287
9.911933,13,198.86462
5.317908,8,199.198191
23.083027,30,200.272192
23.316734,30,201.173013
4.667515,6,201.278671
3.515102,5,201.417588
23.449592,30,202.027081
22.995269,30,202.753681
5.186583,8,202.963634
24.228783,30,203.660529
26.918896,30,204.371499
2.268391,4,204.468896
20.778846,27,205.133583
16.600053,21,205.695205
7.78182,11,205.913516
24.864859,30,206.48673
24.731924,30,207.231263
27.284603,30,207.94683
23.815816,30,208.691947
20.969328,30,209.250868
3.896881,5,209.40412
5.848498,8,209.655771
24.018348,30,210.355357
25.03032,30,211.12295
22.501371,30,212.114133
13.616278,17,212.771786
21.878696,30,213.837091
22.182637,30,214.927519
22.001376,30,215.583444
7.913924,11,215.872417
22.59853,30,218.255869
3.430971,5,218.372037
22.452279,30,219.015778
22.61858,30,219.67934
23.262798,30,220.362672
2.632044,4,220.429573
24.32905,30,221.072706
1.980129,3,221.141897
2.049108,3,221.205088
22.299727,30,221.803564
21.886258,30,222.48249
1.748486,3,222.550054
7.798162,10,222.732165
21.851114,30,223.387586
21.983792,30,223.988298
22.416588,30,224.629771
22.018027,30,225.51836
1.732711,3,225.62848
22.993749,28,226.772629
21.516312,30,227.842953
5.012651,6,228.110969
7.615123,10,228.491855
9.479307,11,228.775365
22.56649,30,229.364025
23.849746,30,230.02584
22.417784,30,230.722955
22.319707,30,231.456252
23.647592,30,232.04595
12.396879,17,232.394579
7.816342,11,232.690645
3.484395,5,232.797119
22.367552,30,233.428862
21.778768,30,234.023267
8.879779,10,234.245927
8.865844,10,234.461459
26.396078,30,235.169802
20.915733,27,235.689124
17.965807,23,236.177281
16.278785,20,236.627984
23.843007,30,237.260498
23.684911,30,237.92629
2.782442,4,238.017747
23.149297,30,238.706383
2.886334,4,238.833566
22.544641,30,239.854798
3.399063,5,240.02079
9.046076,12,240.383418
23.549904,30,241.539443
22.030384,30,242.484834
22.552226,30,243.024641
23.617829,30,243.689552
24.064617,30,244.346467
22.446178,30,244.973417
8.945501,10,245.198357
18.918056,25,245.781101
22.185689,30,246.44514
22.285049,30,247.019025
22.230183,28,247.571558
2.515775,4,247.687269
16.511214,21,248.17946
23.313431,30,248.791303
23.616682,30,249.446864
22.628805,30,250.078439
5.845394,7,250.284807
23.811292,29,250.915538
23.031758,30,251.581627
17.950933,25,252.145865
22.964885,30,253.124736
6.698809,9,253.417412
1.766044,3,253.527564
23.052613,30,254.465459
22.632759,30,255.505634
9.632081,14,256.10719
18.47746,23,256.704548
24.232658,30,257.330904
2.599378,4,257.425759
8.363691,12,257.669236
22.368986,30,258.297058
23.812634,30,258.914384
13.011601,15,259.186878
21.285988,30,259.830946
3.049458,5,259.932352
6.345503,8,260.130672
21.918358,30,260.758887
22.53062,30,261.356913
