#{"t_start": 1765013240.2276843, "env_id": "group5-env-v0"}
r,l,t
-0.240801,4,1.405849
0.793889,6,3.36607
1.142661,6,5.341526
7.982335,18,12.201103
8.262968,18,19.053756
5.15372,17,24.728331
4.267439,12,30.409652
-0.258177,4,31.687325
0.97086,6,33.684434
0.337491,7,35.955636
-0.203295,5,37.442861
-0.727597,3,38.391096
8.071031,17,45.685959
1.842021,8,48.343092
1.608438,8,51.134607
-0.030166,6,53.142561
1.277171,6,56.544417
-0.668229,3,57.97843
7.785605,18,64.063863
5.13832,13,69.469605
-0.042986,4,71.723042
-1.076016,2,72.516167
2.8182,9,75.515712
3.63357,11,79.190312
0.027637,4,80.40004
1.083785,7,82.86569
0.956634,6,86.160603
0.817698,6,88.224716
-1.195545,1,88.600801
0.553676,5,90.352704
0.411809,7,92.617476
-0.640787,3,93.589917
7.788262,18,101.188101
-1.229897,2,101.807129
3.856339,11,105.358023
-0.140572,4,106.717284
-0.9521,2,107.330162
8.144907,16,113.36535
4.44566,16,119.023105
1.103481,6,121.090274
-0.958305,2,121.74577
0.30053,8,124.309959
5.3186,14,130.97539
-0.916987,3,131.927279
-1.253271,1,132.282471
2.233122,9,135.291923
9.871134,16,141.525291
0.391872,5,144.312176
-1.005191,2,144.973161
-0.953139,2,145.616842
0.22012,5,147.282367
-1.066277,2,147.958477
-0.905804,3,148.997376
-1.066997,2,149.706898
1.729209,8,152.290663
-0.590167,3,153.283534
4.805632,14,159.707024
-0.105829,4,161.059816
0.469456,5,162.769128
0.980085,7,165.194123
2.448104,9,168.146472
-0.380408,3,169.851297
-0.496896,3,171.630395
-1.116998,1,172.179576
-0.130321,5,174.221607
3.98214,11,177.971984
0.468041,5,179.676205
2.577951,9,182.915814
-1.387388,1,183.508711
5.409321,14,189.738309
0.91741,6,191.871683
-1.38883,1,192.247061
5.844934,14,196.820487
-0.311993,3,198.440273
1.982836,8,202.539179
1.168049,6,204.665072
1.039001,6,206.64869
-0.484328,3,207.518876
2.40923,10,210.732723
-0.321412,3,211.953224
-0.377568,3,213.628075
