#{"t_start": 1764972402.306749, "env_id": "group5-env-v0"}
r,l,t
-0.158587,4,10.389288
0.496843,6,12.283229
2.597906,16,20.053827
-0.169079,4,21.684783
3.754328,13,26.567906
-0.957817,2,27.315849
-0.246684,5,29.091149
-1.082491,3,30.133891
-0.022626,4,32.567083
-1.076701,2,33.931042
-0.511315,3,35.929391
1.052925,8,38.78252
-0.898176,3,40.010471
2.382547,9,44.216336
-0.271481,3,45.650938
0.723554,6,49.358549
1.598437,9,53.140775
0.439235,5,55.018959
3.870473,13,59.824519
4.580083,17,67.965366
0.999572,6,70.060626
-1.394775,1,70.497649
-0.062531,5,72.271476
2.713001,18,80.62671
4.851931,15,86.261744
0.784099,6,88.277697
-0.930362,3,89.371605
0.975029,7,92.130314
-0.788575,5,95.132899
0.978042,13,100.097329
-0.460318,4,101.45416
-0.275904,4,102.833805
7.638436,20,112.370423
7.789844,19,118.940187
0.697899,6,121.108304
-0.788572,5,123.823945
0.412818,7,127.580658
-0.789842,5,129.430386
-0.75075,3,130.541224
0.71226,5,132.319561
-0.959681,2,133.022754
9.141628,19,141.947755
-0.739628,3,142.985946
1.681955,9,146.035385
4.109119,13,150.58145
-1.209782,1,150.964872
7.730811,19,159.82682
-0.784589,5,161.473511
0.69246,8,164.131117
-0.537357,3,165.217188
3.664939,11,170.712441
-0.14,4,172.747238
-1.081505,2,173.483246
-0.744516,3,174.659564
0.367937,5,176.394915
-0.15997,4,177.793952
-0.373389,5,179.559071
-0.947861,2,180.291569
-1.006915,2,181.017643
1.955799,8,185.245782
-0.76227,3,187.054304
-1.076595,2,187.7814
0.437051,5,189.491222
7.444678,20,196.56726
8.008607,20,206.338816
7.261341,21,215.844251
-0.412554,5,218.61982
-0.392249,4,220.321945
-0.066017,5,222.168902
-0.63531,3,223.323271
-1.115538,1,223.77002
0.771411,6,226.111448
-1.387948,1,226.56101
-1.071124,2,227.327253
1.777487,13,234.017564
-1.394993,1,234.393868
-0.746612,4,235.849148
0.130235,6,237.882213
4.096201,16,244.273372
-0.952574,2,245.550887
1.026812,9,250.425435
0.834796,7,253.321105
9.458889,17,260.741807
7.889512,20,269.371285
-0.950951,2,270.123234
-1.074638,2,271.02053
2.088712,8,274.861655
-1.075083,2,276.228231
0.118057,4,279.254998
8.035577,17,286.144392
-0.953229,2,286.953341
-0.787419,5,288.737401
-0.03677,4,291.188424
7.045723,22,301.009909
-0.303086,4,302.562089
1.290765,7,306.007467
-0.954069,2,307.410887
-1.084774,2,308.683181
-0.755182,3,310.203316
-0.188295,4,311.81657
1.075516,11,316.010952
-0.402103,4,317.463221
1.349458,7,320.189345
0.877165,6,323.994299
-0.151725,4,325.965289
-0.286923,4,327.327974
2.190278,15,332.69957
0.588928,10,337.29427
0.511648,9,342.041982
0.091616,4,343.71038
7.943085,18,350.102653
-0.404597,4,352.382706
-0.567723,5,355.552969
-0.252317,4,357.092404
0.756979,7,359.610395
0.461215,6,361.940454
-1.077549,2,362.554534
0.650328,5,364.180141
-0.477585,3,365.190516
2.553868,13,372.023231
-1.396453,1,372.461569
1.708018,9,375.669443
-0.057588,6,377.843872
-1.045432,2,378.523887
-0.33097,3,379.571491
-0.574722,4,381.681317
-0.001037,6,385.668473
-0.764622,5,387.679714
-0.614923,6,389.86983
0.537999,7,392.393443
-0.752598,3,393.399078
-1.077795,2,394.165314
-0.023663,9,398.969104
0.804216,6,402.190469
-0.992034,2,403.002764
6.402434,22,410.842154
0.562555,5,414.239642
-0.755588,4,416.730941
0.133796,4,418.038418
-0.119494,4,419.403976
-1.078157,2,420.203609
-1.0816,2,420.98358
-1.393393,1,421.360832
-0.183706,7,424.209853
8.189644,21,434.717658
-0.236009,4,436.191607
0.102432,8,439.420169
-1.083178,3,440.600279
9.218306,18,449.326171
-0.014343,7,451.840124
-0.905737,3,453.004328
-0.494467,3,454.117427
0.348321,7,456.95327
2.586559,15,464.786858
1.778075,10,468.735583
-0.056083,5,470.567217
0.112971,7,474.123084
-1.39177,1,474.770473
-0.387143,4,477.309255
-0.507884,3,478.463627
-0.500539,3,479.409523
-1.089951,2,480.111006
-0.280942,4,481.471498
0.52506,8,484.311084
7.349888,19,493.110253
-0.743489,4,494.752472
-1.035661,2,495.51979
6.377239,22,505.742377
-0.021095,4,508.323036
-0.181084,6,511.16516
-0.952627,2,512.147168
-1.072342,2,513.10198
0.360863,7,516.030475
-1.238744,2,516.909773
-1.137885,2,517.858132
8.46949,18,526.778763
2.451707,13,531.459437
1.805196,7,534.839648
-1.384781,1,535.458216
-0.400716,4,538.035003
-0.263205,3,539.245537
3.149964,11,543.427208
-0.089087,8,546.503784
7.706332,21,557.157411
-1.161036,2,557.866699
-0.953617,2,558.555517
-1.387432,1,558.905266
-0.865449,2,559.634941
2.623418,9,563.211865
-0.44733,6,566.908019
-0.025688,6,570.047973
-1.069669,2,570.716951
0.447267,5,572.43426
-0.178974,4,573.835545
1.123759,7,576.400766
0.249856,5,578.089089
-0.950404,4,580.175429
-1.395845,1,580.798018
1.826381,10,585.35629
-0.61475,5,587.058854
-1.067596,2,587.743743
-0.745368,3,588.750243
0.513422,6,590.683913
-0.199492,5,592.350152
0.598246,6,594.92092
-0.281494,4,597.263113
-0.095257,6,600.08421
3.179922,11,604.211761
5.199926,14,609.578389
-0.945165,4,612.152629
-1.082652,2,613.481162
6.321714,23,622.182436
-0.016867,6,624.771771
-0.12532,4,627.360108
-0.413318,6,630.413411
0.21254,5,632.124177
-1.393758,1,632.46381
-0.587444,3,633.538126
-0.40495,4,634.986099
0.495914,5,636.87605
-0.567354,5,638.948525
-0.409233,7,643.210578
-0.403658,4,645.539592
0.732799,8,648.805332
-0.793592,2,649.606305
-0.948657,2,650.419411
0.403987,8,653.6046
2.703603,12,660.525267
1.856893,14,665.613456
-0.406697,6,667.890772
1.459343,11,673.330564
-0.41964,4,675.628226
1.614566,10,679.607048
-0.420758,8,683.075814
-0.857413,2,683.970268
-0.216187,4,686.108141
-0.065943,4,688.969706
-1.39969,1,689.66511
-1.082239,2,690.891341
-0.27789,4,692.389144
-1.091973,3,693.585954
-0.943908,4,695.424868
0.006127,8,699.223311
0.17576,7,702.900406
7.388717,21,712.574291
-0.346136,4,714.210144
-0.375531,5,716.294203
-1.072609,2,717.780759
1.500425,7,722.057528
1.648343,8,725.066839
-0.585036,6,727.172653
1.76137,7,729.714538
-0.589829,6,732.045501
-0.895819,2,733.356229
2.619973,13,739.448355
0.453816,5,741.43823
-0.321846,3,742.753487
0.199659,5,744.74977
0.223261,5,746.617562
-1.388747,1,747.267332
-0.639116,3,749.116327
-0.024531,4,751.716344
-1.07091,2,752.511015
-0.944087,4,753.90769
-0.624471,3,754.976914
1.904377,14,759.717652
-0.075278,4,761.110428
-1.088341,3,762.375035
-0.425506,4,764.885382
8.593777,17,772.080389
0.387677,5,773.911702
1.262298,6,776.187814
-0.962984,2,776.931938
0.193299,6,780.501344
0.145016,7,783.847599
-0.233783,4,785.331109
0.225032,4,786.896369
7.004386,21,795.89855
0.770719,9,799.549819
-0.191047,4,801.293339
-0.951801,2,802.11018
-1.070624,2,802.806309
1.791013,8,805.607186
-0.948595,2,806.39641
1.55224,11,812.646569
2.182586,9,815.906047
-0.178502,5,817.807974
-1.071942,2,818.489755
5.514714,14,824.321948
7.714017,19,832.106519
1.010227,6,834.132477
-1.399023,1,834.49853
-0.322972,4,835.976099
1.171713,7,839.0666
5.432014,20,848.026427
0.195086,5,849.872257
-0.499432,3,850.972903
0.930793,7,854.060663
1.409867,10,859.046548
0.345828,5,860.853741
-0.895772,3,862.043887
1.522197,9,865.130774
-0.44786,4,866.656819
-0.930679,3,867.969116
-0.753824,3,869.814592
-0.624611,3,871.768726
7.834011,22,879.949947
-0.873369,2,880.734076
-1.074016,2,881.4774
-1.395201,1,881.866399
1.104678,7,885.897005
-0.148983,4,888.099594
-0.101127,4,889.562358
2.017689,14,894.677371
-0.960445,2,895.348209
0.156342,4,896.889167
-1.386174,1,897.285275
-0.573695,5,907.476386
1.314113,7,909.931748
-0.296977,4,911.303319
-1.069469,4,913.332857
-1.085537,2,914.588805
1.845516,9,919.172186
0.036046,11,923.254029
2.072687,12,927.660846
0.259731,6,931.078565
0.740289,6,933.774625
0.086139,4,935.13782
-0.108273,5,936.935849
1.027331,7,939.457259
0.503854,6,941.615803
8.200258,21,951.246782
-1.396104,1,951.66051
1.289744,7,954.093455
1.38149,9,957.572018
-0.495581,3,959.414784
-0.758182,3,961.188622
-1.236652,2,962.379074
-1.082493,2,963.098714
-0.576866,5,964.888397
7.786112,18,971.066817
-1.079902,2,971.753706
3.945278,18,980.216421
-0.238967,7,982.864413
-0.381758,6,985.02481
0.98258,6,987.132168
0.977924,8,991.544182
-0.111263,5,993.773782
0.895516,10,997.234088
7.982748,19,1004.512578
-1.060005,2,1005.84082
1.292194,7,1009.243929
7.094433,21,1016.296154
