#{"t_start": 1764993451.2358286, "env_id": "group5-env-v0"}
r,l,t
1.019751,6,2.749281
-0.06637,7,4.919978
0.714889,7,7.134584
-1.217583,2,7.841275
-0.492945,3,8.858813
4.698746,20,17.82969
0.15643,6,19.919896
-0.752129,4,21.252446
0.192621,6,23.34564
-1.075307,2,24.111347
4.487641,16,31.090049
0.245301,7,33.657691
8.402648,20,40.325841
0.70322,7,43.691148
-0.166362,4,46.115194
-1.389733,1,46.745836
1.033693,8,49.487361
-1.071077,2,50.21899
0.194828,9,53.177923
0.375647,5,55.052506
0.615988,8,58.526132
7.973222,18,66.336071
-1.094273,3,67.371376
6.640875,22,76.855646
8.660048,20,83.803646
1.016038,10,87.901865
7.206099,20,96.216154
0.388269,8,98.903654
-1.087146,2,99.576832
4.282516,13,106.185237
-0.136463,4,107.641854
-0.791084,4,108.944011
-0.209044,8,111.501719
0.006516,8,114.279402
-0.567366,5,115.987965
-0.187101,6,119.26314
-1.086139,2,120.445693
6.451751,22,128.602953
-0.947986,2,129.311217
3.802794,16,136.903117
8.370453,18,142.82762
7.002279,21,152.463604
-0.952679,2,153.209215
1.883989,10,157.002691
0.858007,7,159.422505
2.208586,10,164.024439
-0.805997,4,166.365726
3.126417,11,170.092036
-0.953254,2,170.854285
5.22376,14,175.802241
-0.423986,4,178.161561
0.469896,10,183.234238
1.624698,7,186.007358
-0.850715,2,186.784191
-0.745231,3,187.988828
-0.502975,3,189.119515
-1.082894,3,190.215446
1.352071,7,193.912341
1.682213,8,197.825515
6.361485,20,204.839074
-0.951587,2,205.704489
-0.498179,3,207.312221
-0.396486,5,210.390187
-0.956463,2,211.502017
-0.186854,3,212.616012
-1.085203,2,213.452945
4.493836,17,219.053277
-0.857988,2,219.763865
2.109509,13,226.249507
4.156644,15,231.489122
-1.318827,1,231.906329
2.369165,10,235.67902
0.46122,5,238.482865
0.334337,7,242.086278
-0.592716,3,243.155854
-0.641227,2,243.865939
-0.718097,3,244.928031
-0.496828,3,246.008739
-0.953781,2,246.766197
0.681434,6,248.770684
-0.015697,6,250.868036
-0.620631,3,252.517707
-0.742681,3,254.398486
1.497924,10,258.607986
5.991357,24,267.594841
-1.069242,2,268.770682
-0.394193,4,271.164575
0.124536,8,274.061121
8.286864,19,280.804664
-0.750161,3,282.380337
0.773593,11,287.664349
0.686572,6,289.981655
0.336773,6,292.135035
1.249296,11,296.437363
0.978695,6,300.08853
-0.916786,3,301.525185
1.26867,8,304.324642
1.910325,8,307.192544
1.649638,9,310.263772
0.108644,6,313.438807
-0.429603,4,315.856566
-0.415122,4,317.32289
-0.756687,3,318.446018
-1.387058,1,318.803796
1.684548,11,322.564922
0.90607,6,324.618482
2.172152,10,329.650136
-0.733212,2,330.896943
1.438704,7,333.545548
1.67407,9,336.678276
1.604097,8,339.39622
-0.951794,2,340.033416
1.033481,9,344.733013
-0.910728,3,346.079136
1.484948,10,349.484832
5.059266,18,355.354372
0.610366,7,359.078728
3.684478,16,365.0473
-0.946411,2,365.787849
-0.782509,5,367.698227
9.372637,18,375.794257
-1.070937,2,376.446868
-0.246419,6,378.493567
0.354687,6,380.567004
-0.024381,4,381.97208
-0.72132,4,383.312418
-0.904916,3,384.349975
-0.397802,4,385.965613
-0.990756,3,387.854362
-1.397405,1,388.486539
5.856895,15,394.073519
-0.582806,5,395.707648
-0.74771,4,397.12773
0.342029,6,399.135406
-0.571092,5,401.163205
1.999972,8,405.779736
-1.072539,2,406.449821
-0.623101,3,407.553601
1.260382,8,410.247767
-1.081817,2,410.936987
-0.771823,4,412.343584
-0.908451,3,413.343211
0.330864,5,415.08069
-0.255957,8,419.503331
0.728636,6,421.862136
0.896262,6,423.896747
-1.220416,2,424.638951
2.075461,14,429.231264
-0.160764,4,430.717517
-0.393307,7,434.661011
-1.381153,1,435.263114
0.34181,7,437.716959
-0.771734,5,439.298328
8.318442,18,445.44463
0.878504,7,449.351346
-1.063355,2,450.402459
2.846232,13,454.886504
-0.505125,3,455.834718
-1.066122,2,456.451936
-1.0727,2,457.157424
-0.898941,2,457.929223
1.368809,14,464.439736
1.706951,8,467.320076
7.920669,20,473.89786
3.24342,10,478.933712
1.8759,8,482.148241
-0.223221,8,485.001166
-0.738481,4,486.413755
9.126135,18,494.341939
3.297425,11,498.497971
0.120047,6,500.653152
-0.946532,4,501.921305
-0.956994,2,502.508517
0.450796,6,504.475263
4.1675,15,511.378737
-0.395908,4,512.816859
-0.895009,3,513.750559
0.468267,6,515.726657
-0.398271,5,517.359653
