#{"t_start": 1765013240.1030996, "env_id": "group5-env-v0"}
r,l,t
-0.743644,3,1.026096
-0.738635,3,2.024185
0.352743,7,4.309911
-1.217583,2,4.951654
0.74422,12,8.926895
1.516773,7,12.006002
0.141258,5,14.787967
-0.735531,3,15.770566
0.555417,6,17.753182
-1.085232,2,18.399434
0.443622,6,20.330547
1.598345,8,23.047473
-0.200917,5,24.575639
0.550162,7,28.448737
-0.166362,4,29.990917
-1.389145,1,30.333837
0.473487,5,31.986457
-1.091736,2,32.642692
2.5712,9,35.547861
6.760268,18,42.947811
-1.07281,2,43.817744
1.992042,8,46.294985
0.294894,4,47.587917
5.595434,16,53.068587
-0.147179,5,55.856221
3.515978,11,60.240482
0.08569,4,61.625338
2.443336,12,65.851242
6.201859,15,72.822033
3.916117,12,76.729434
4.361038,12,80.684172
-0.644927,2,81.221858
0.213787,7,84.386381
1.970369,8,87.857799
0.032193,4,89.241149
-0.487674,3,90.281522
1.099632,6,92.260062
0.840976,7,94.461249
-1.061017,2,95.081224
7.966589,18,102.701517
8.456675,17,108.216906
2.948714,12,112.704812
-0.959201,2,113.780079
-0.852368,4,115.694801
6.283236,19,121.686378
3.583455,11,125.267912
0.152787,5,128.320563
8.111007,18,134.88202
-0.944224,2,135.6036
6.395642,16,142.0116
-0.952478,2,143.295706
3.470975,11,147.239161
1.531969,7,149.663035
-0.850715,2,150.327312
-0.942615,2,150.941836
-0.96259,2,151.60708
-1.073415,2,152.249283
-0.343821,3,153.229179
6.210809,15,160.017736
-0.007046,4,161.397837
-0.951376,2,162.115021
-0.48801,3,163.089091
-0.951957,2,163.855209
1.430448,7,166.154256
-0.101434,4,167.423685
1.967267,8,171.444696
5.556332,14,176.900188
-0.760249,2,177.568366
1.266066,7,180.009048
2.969593,10,184.008472
-1.318827,1,184.5367
6.532779,15,190.767591
6.194202,14,195.536576
0.572549,5,197.143548
-0.326953,3,198.963397
-0.916114,3,200.726859
-0.745842,3,202.148404
-0.457293,4,203.532271
-0.629773,3,204.614245
1.531206,7,206.942244
1.570463,7,209.132929
4.488448,13,214.688599
