#{"t_start": 1764972402.4236908, "env_id": "group5-env-v0"}
r,l,t
6.887445,22,17.783956
-1.088091,2,19.106858
-0.406972,7,22.266228
-0.19761,5,24.168448
0.187569,5,26.019444
-0.960094,5,27.772928
-0.420645,4,29.256824
0.855309,6,32.22923
-0.737843,4,35.05248
-1.079026,2,36.13532
-0.012395,4,37.52637
0.73755,12,42.099628
-0.889543,2,43.293071
3.123679,15,51.491712
-0.747617,3,52.537314
0.978488,9,55.898321
0.380868,10,59.585015
-0.909208,3,60.727909
2.886626,10,66.396945
2.525156,11,70.261426
9.080136,19,77.712901
0.871811,11,83.284342
0.381872,5,85.071883
0.563713,8,87.697316
-0.9586,2,88.447962
-0.351226,4,89.893778
0.568844,10,94.847701
4.809037,14,100.250188
-1.186985,1,100.58642
-0.045473,6,102.604444
1.952127,8,105.417056
1.405743,9,110.678361
1.076039,7,113.541118
-1.083411,2,114.3954
0.833221,6,116.29172
-0.753466,4,117.701784
-0.252837,8,120.499143
-0.63174,3,121.77413
-0.040906,5,124.91067
-0.330584,6,127.749424
-1.066715,2,128.397997
0.928646,9,131.75457
3.107886,13,136.307396
-0.729252,3,137.959942
1.1688,8,142.428656
4.132331,15,147.565734
-0.155265,8,150.359848
-0.945713,4,151.802415
-0.758831,4,154.23653
-0.953139,2,155.552338
-1.089015,3,157.259307
-1.066277,2,157.925328
1.270325,14,162.607815
-0.422424,4,163.917353
-0.155733,4,165.431474
-0.740904,3,166.470803
6.863994,22,176.570055
-0.022429,4,177.919041
0.898478,10,181.504414
0.178331,7,185.634825
1.297234,8,188.949538
-0.372051,4,190.463485
-0.372962,5,192.225161
-1.231896,2,192.931667
-0.947797,2,193.607158
-0.139154,4,195.045614
-0.624579,3,196.008483
3.880671,11,202.31445
-1.397658,1,202.725491
1.391467,7,205.314265
-0.560515,3,206.538278
-1.38883,1,206.935805
-0.626971,6,209.046183
-0.318472,3,210.19606
6.305396,23,221.539455
0.419515,9,225.172672
-0.408415,4,226.754302
6.775584,18,235.280569
-0.243268,7,237.64541
-0.951579,4,239.145009
-0.312536,3,240.287484
-1.081747,2,240.988451
1.288429,6,243.298524
6.043659,24,254.971783
0.066236,4,256.580609
6.915221,22,266.930254
-0.411268,4,268.400403
-1.04855,7,271.305656
1.883354,8,275.32121
-0.943256,2,276.859495
0.321937,5,279.909604
-0.423691,6,282.401173
-0.987939,2,283.159717
3.78837,13,288.137132
0.592296,9,293.462659
-0.611034,6,296.015601
4.732431,18,303.092063
-0.502635,3,304.34507
-0.745355,3,306.510307
3.2569,14,313.088567
0.140009,4,314.60769
-0.948318,2,315.3851
1.497855,7,317.960665
-0.755335,3,319.009024
4.217654,13,326.096997
-0.749967,4,327.465222
0.602589,9,330.585931
