#{"t_start": 1764993451.1686838, "env_id": "group5-env-v0"}
r,l,t
0.716317,6,2.696158
1.455531,8,5.218087
-0.422789,4,6.469962
-0.626053,3,7.47099
0.254105,5,9.186033
-0.910167,3,10.184423
-0.037508,4,11.586315
-1.069759,2,12.783113
7.515416,19,20.952647
-0.773877,5,22.646707
0.298443,5,24.442049
0.464625,6,26.274941
1.238657,7,29.97461
0.863783,7,32.968479
-0.159169,4,34.389452
0.878835,7,36.76655
-0.763322,5,38.314416
0.825919,8,41.036978
-1.397307,1,41.366044
-1.085067,2,42.453967
0.563921,6,45.982584
-1.394775,1,46.703072
-0.45521,3,47.756061
0.193369,5,49.442479
-0.965858,2,50.185711
-0.549858,4,51.508886
8.492101,17,57.818544
-0.594715,3,59.779592
-0.959161,2,61.050824
1.58787,7,63.822785
0.88758,8,66.652656
-1.063546,2,67.332175
-0.579997,4,68.677655
-0.941848,4,70.070438
-1.069227,2,70.723572
0.347045,5,72.962494
-1.083875,2,74.146441
7.308844,21,82.450356
-0.741063,3,83.424719
3.282742,15,90.139816
5.395457,15,95.830495
-0.499465,3,96.915575
-0.588939,3,97.900327
1.262958,7,100.278941
-1.098288,3,101.304232
-1.209782,1,101.870728
0.273614,4,104.279111
-0.043961,4,106.604883
0.399529,5,108.297414
0.472064,5,109.957384
1.59098,7,112.198277
8.566858,17,119.119252
7.501145,21,127.568707
0.978112,6,129.641261
0.260066,8,133.19916
-0.302077,4,135.583561
0.491398,9,139.010309
4.12686,18,145.053086
-0.609527,3,146.091013
0.570184,8,150.840256
2.378126,9,154.262214
-1.076816,2,155.037003
0.992088,6,157.386638
-0.582632,5,159.023637
-1.016953,2,159.768984
-1.00267,2,160.384886
2.509098,18,168.732222
0.98811,7,171.214186
-1.08174,2,171.880233
-0.756831,4,173.245812
-0.200365,6,175.41323
4.475925,20,185.11238
-1.388334,1,185.615727
0.338901,6,187.934244
0.251597,5,189.820577
-1.394972,1,190.181395
1.840844,9,195.099188
-0.744804,3,196.694416
-0.050607,5,198.556051
1.976741,8,201.256155
1.120505,11,205.204412
0.804592,6,208.474168
-0.75452,4,210.981148
0.458854,9,214.432789
-0.760293,3,215.499875
-0.956426,2,216.128343
0.151004,4,217.439167
-0.929666,3,218.38066
3.20619,14,224.39597
0.430393,9,228.317814
-0.933623,3,229.437545
0.420544,8,232.293485
4.95698,13,237.718421
-1.072346,2,239.099584
-0.402047,3,240.84047
2.309643,9,244.224136
-1.079841,2,244.882856
6.134003,23,254.294921
6.820714,22,262.678313
-0.954169,2,263.437114
2.117566,9,266.882698
1.331469,7,271.121782
8.019474,19,278.008337
-0.640052,2,278.786995
-0.298053,4,280.132851
1.821955,8,284.006284
0.63059,6,286.89803
-0.151028,4,288.413545
-1.092668,2,289.175945
0.625768,8,292.088961
1.603117,10,295.790669
3.140153,13,302.579256
-0.574561,4,303.978645
0.969802,6,305.987657
0.93628,8,308.993272
7.948432,18,317.278993
-0.49285,3,318.388276
-1.075784,2,319.204098
7.086998,21,326.481607
3.597984,16,334.263015
-1.396453,1,334.608814
-0.37652,4,335.934694
-0.734762,4,337.331292
-0.944195,2,338.001949
0.604493,6,340.017921
-0.948126,3,341.181
0.34283,5,344.116612
-0.02463,4,346.04144
8.156472,19,352.456784
1.094951,7,354.664175
-0.501511,3,355.679343
-1.225866,2,356.757483
-0.41025,4,359.000164
6.456287,23,367.660892
-0.7363,4,369.211311
7.013729,21,378.152573
0.951457,6,380.154773
-0.142651,4,381.587859
2.090738,13,386.491635
-1.079896,2,387.753721
-0.015888,7,391.168461
-1.095285,3,392.127443
0.966532,7,394.412919
-0.758592,3,395.324569
-0.417978,4,396.67704
1.048621,12,401.029837
-1.393965,1,401.67487
1.040896,7,405.724452
0.226254,10,409.178493
8.331155,19,416.047093
-1.220203,2,417.227613
-0.375484,5,420.051111
-1.079758,1,420.557124
0.281401,6,422.541459
0.071817,5,424.263866
-0.601993,6,426.171203
0.446738,10,429.566643
8.359911,18,437.654624
4.743619,20,444.241237
0.010028,8,448.194862
0.848419,9,452.124177
1.244451,11,455.800688
1.992292,13,460.213251
3.450971,16,467.720916
-0.598745,5,469.40433
1.242191,7,471.686557
-0.335447,3,472.671806
-0.811661,3,473.563439
8.476344,19,482.109443
-0.066688,5,483.900715
-0.741894,5,485.737315
0.889113,10,489.168877
0.190804,8,493.172938
-1.077512,2,494.276572
6.111204,21,501.889573
1.007209,10,505.385606
-0.955479,4,507.691131
-0.034365,6,510.355987
-1.384781,1,510.721803
-1.072828,2,511.35918
1.233895,8,514.086282
1.800765,10,517.314254
-0.41271,4,518.741781
0.466527,6,521.672075
-1.274398,2,522.928347
-0.930342,4,524.946162
-1.386992,1,525.2868
-1.084196,2,526.004687
0.456072,5,527.587868
1.369757,7,529.923295
2.843918,15,534.769768
-1.060569,2,536.022925
-0.012174,6,539.891828
4.363418,13,544.374351
3.76275,15,549.729048
3.410259,10,555.095707
2.543516,9,558.229808
-1.386133,1,558.564134
0.322503,6,560.466051
-0.025809,5,562.154769
-0.953931,2,562.808634
-0.492699,3,563.869276
0.571822,7,567.381614
-0.954699,2,568.623108
0.39515,5,570.678502
-0.037804,4,572.060169
-0.188766,5,573.867442
-0.398018,6,575.724931
-1.074784,2,576.367969
-0.725691,4,577.699469
0.307918,6,579.907853
-0.277712,4,582.318888
0.751891,9,586.182144
7.815919,22,593.395052
6.796793,22,602.928813
-1.081021,2,603.661322
-1.388452,1,604.039108
-0.140226,7,606.590106
1.399904,7,608.952571
-0.070209,5,611.386205
-0.411233,4,613.732289
-0.744094,3,614.915856
-1.073961,2,615.60579
3.358257,16,620.970751
-0.575846,5,622.671807
-1.084425,2,623.311857
0.249243,5,625.379647
-0.574154,4,627.70369
3.806804,17,634.041884
-0.561204,5,635.714412
-0.569232,4,637.015688
-1.076805,2,637.63058
0.800642,6,640.123017
0.937678,6,643.768592
-0.977967,2,644.598374
1.547884,8,647.366924
-0.570111,4,648.651418
-1.399668,1,648.997021
-0.029993,5,650.487213
-0.287436,5,652.154899
0.089587,4,653.464548
-0.424344,6,656.451236
0.690671,6,659.584458
0.137324,6,661.607983
3.958116,14,666.299347
-0.949073,2,667.040405
1.700053,10,671.613722
-0.182006,5,674.316185
7.322834,23,681.942231
0.189934,5,683.548153
-0.946012,2,684.358578
0.42644,9,689.22652
-1.082978,2,689.867288
-0.895819,2,690.544283
-0.215331,5,692.495884
0.593667,7,694.955643
-0.033545,4,696.294342
4.528693,14,702.764389
0.015601,4,704.60422
1.789134,9,707.47478
-0.734423,3,708.53375
-1.077399,2,709.211192
-1.071109,2,709.824107
-0.949728,2,710.546949
-0.51559,3,711.662049
